school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
'GP','m',0.20000000000000018,'U','LE3','T',1.0,0.75,'services','other','reputation','mother',0.0,0.5,0.0,'no','yes','yes','yes','yes','yes','yes','no',1.0,0.75,0.25,0.0,0.25,1.0,0.5,15,15,15
'GP','m',0.20000000000000018,'U','LE3','T',0.5,0.5,'other','other','home','mother',0.0,0.5,0.0,'no','no','no','no','yes','yes','yes','no',0.75,0.75,0.75,0.0,0.0,0.5,0.0,12,12,11
'GP','m',0.0,'U','LE3','A',0.75,0.5,'services','other','home','mother',0.0,0.5,0.0,'no','yes','yes','no','yes','yes','yes','no',0.75,0.25,0.25,0.0,0.0,0.0,0.0,16,18,19
'GP','m',0.0,'U','GT3','T',0.75,1.0,'other','other','home','mother',0.0,0.5,0.0,'no','yes','yes','yes','yes','yes','yes','no',1.0,1.0,0.0,0.0,0.0,1.0,0.0,14,15,15
'GP','m',0.0,'U','LE3','T',1.0,1.0,'health','services','course','father',0.0,0.0,0.0,'no','yes','yes','yes','yes','yes','yes','no',0.75,0.5,0.5,0.0,0.5,1.0,0.1,14,14,14
'GP','m',0.0,'U','GT3','T',1.0,0.75,'teacher','other','course','mother',0.3333333333333333,0.5,0.0,'no','yes','yes','no','yes','yes','yes','no',1.0,0.75,0.5,0.0,0.25,0.5,0.1,10,10,11
'GP','m',0.0,'U','GT3','A',0.5,0.5,'other','other','home','other',0.0,1.0,0.0,'no','yes','no','no','yes','yes','yes','yes',0.75,1.0,0.25,0.0,0.0,0.5,0.0,14,16,16
'GP','m',0.20000000000000018,'U','LE3','T',1.0,0.75,'health','other','home','father',0.0,0.0,0.0,'no','no','yes','yes','yes','yes','yes','no',0.5,0.0,0.5,0.0,0.5,1.0,0.2,8,10,10
'GP','m',0.0,'U','GT3','T',1.0,0.75,'teacher','other','reputation','mother',0.0,0.5,0.0,'no','no','no','no','yes','yes','yes','no',0.75,0.75,0.0,0.0,0.0,0.0,0.0,13,14,15
'GP','m',0.0,'U','GT3','T',1.0,1.0,'health','health','other','father',0.0,0.0,0.0,'no','yes','yes','no','yes','yes','yes','no',1.0,0.75,0.25,0.0,0.0,1.0,0.0,12,15,15
'GP','m',0.20000000000000018,'U','LE3','T',1.0,0.5,'teacher','other','course','mother',0.0,0.5,0.0,'no','no','no','yes','yes','yes','yes','no',0.75,1.0,0.0,0.0,0.5,1.0,0.1,15,15,16
'GP','m',0.20000000000000018,'U','LE3','T',0.5,0.5,'other','other','reputation','mother',0.3333333333333333,0.5,0.0,'no','yes','no','yes','yes','yes','yes','no',1.0,0.75,0.75,0.5,0.75,1.0,0.0,13,13,12
'GP','m',0.0,'U','GT3','T',0.5,0.5,'other','other','home','mother',0.0,0.0,0.0,'no','yes','yes','no','yes','yes','yes','no',0.75,0.25,0.25,0.0,0.25,1.0,0.1,12,12,11
'GP','m',0.0,'U','GT3','T',1.0,0.5,'health','services','other','mother',0.0,0.0,0.0,'no','no','yes','no','yes','yes','yes','no',0.25,0.25,0.75,0.5,0.75,0.0,0.2,15,16,15
'GP','m',0.20000000000000018,'U','LE3','A',0.75,1.0,'services','other','home','mother',0.0,0.5,0.0,'yes','yes','no','yes','yes','yes','yes','no',1.0,0.5,0.5,0.0,0.0,1.0,0.2,11,11,11
'GP','m',0.0,'U','GT3','T',1.0,1.0,'health','services','home','mother',0.0,0.5,0.0,'no','yes','yes','no','no','yes','yes','no',1.0,0.75,0.25,1.0,0.75,1.0,0.0,9,11,12
'GP','m',0.0,'U','GT3','T',1.0,1.0,'services','services','reputation','mother',0.3333333333333333,0.5,0.0,'no','yes','no','yes','yes','yes','yes','no',0.75,0.5,0.0,0.0,0.0,1.0,0.0,17,16,17
'GP','m',0.0,'R','GT3','T',1.0,0.75,'teacher','at_home','course','mother',0.0,0.5,0.0,'no','yes','no','yes','yes','yes','yes','yes',0.75,1.0,0.25,0.0,0.0,1.0,0.0,17,16,16
'GP','m',0.0,'U','LE3','T',0.75,0.75,'other','other','course','mother',0.0,0.5,0.0,'no','no','no','yes','no','yes','yes','no',1.0,0.5,0.25,0.0,0.0,0.25,0.0,8,10,12
'GP','m',0.20000000000000018,'U','GT3','T',0.75,0.5,'other','other','home','mother',0.0,0.0,0.0,'no','yes','yes','no','no','yes','yes','no',1.0,0.75,0.5,0.0,0.0,1.0,0.0,12,14,15
'GP','m',0.0,'U','LE3','T',1.0,0.75,'teacher','services','home','mother',0.0,1.0,0.0,'no','yes','no','yes','yes','yes','yes','no',1.0,0.75,0.5,0.0,0.0,0.75,0.1,15,16,18
'GP','m',0.20000000000000018,'R','GT3','A',1.0,1.0,'other','teacher','reputation','mother',0.3333333333333333,1.0,0.0,'no','yes','no','yes','yes','yes','yes','yes',0.25,0.75,0.5,0.0,0.0,1.0,0.35000000000000003,15,16,15
