school,sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_father,guardian_mother,guardian_other,Gvg,Avgalc,Bum
0,1,0.2000000000000001,0,0,0,1.0,0.75,0.0,0.5,0.0,0,1,1,1,1,1,1,0,1.0,0.75,0.25,0.0,0.25,1.0,0.5,15,15,15,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,0.7307692307692308,0.125,0.43971631205673756
0,1,0.2000000000000001,0,0,0,0.5,0.5,0.0,0.5,0.0,0,0,0,0,1,1,1,0,0.75,0.75,0.75,0.0,0.0,0.5,0.0,12,12,11,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,0.5,0.0,0.15602836879432624
0,1,0.0,0,0,1,0.75,0.5,0.0,0.5,0.0,0,1,1,0,1,1,1,0,0.75,0.25,0.25,0.0,0.0,0.0,0.0,16,18,19,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,0.8846153846153846,0.0,0.0851063829787234
0,1,0.0,0,1,0,0.75,1.0,0.0,0.5,0.0,0,1,1,1,1,1,1,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,14,15,15,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,0.6923076923076923,0.0,0.19148936170212766
0,1,0.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0,1,1,1,1,1,1,0,0.75,0.5,0.5,0.0,0.5,1.0,0.1,14,14,14,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,0.653846153846154,0.25,0.44680851063829785
0,1,0.0,0,1,0,1.0,0.75,0.3333333333333333,0.5,0.0,0,1,1,0,1,1,1,0,1.0,0.75,0.5,0.0,0.25,0.5,0.1,10,10,11,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,0.34615384615384615,0.125,0.2695035460992908
0,1,0.0,0,1,1,0.5,0.5,0.0,1.0,0.0,0,1,0,0,1,1,1,1,0.75,1.0,0.25,0.0,0.0,0.5,0.0,14,16,16,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,0.7307692307692308,0.0,0.04964539007092199
0,1,0.2000000000000001,0,0,0,1.0,0.75,0.0,0.0,0.0,0,0,1,1,1,1,1,0,0.5,0.0,0.5,0.0,0.5,1.0,0.2,8,10,10,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,0.26923076923076916,0.25,0.4184397163120568
0,1,0.0,0,1,0,1.0,0.75,0.0,0.5,0.0,0,0,0,0,1,1,1,0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,13,14,15,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,0.6153846153846154,0.0,0.15602836879432624
0,1,0.0,0,1,0,1.0,1.0,0.0,0.0,0.0,0,1,1,0,1,1,1,0,1.0,0.75,0.25,0.0,0.0,1.0,0.0,12,15,15,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,0.6153846153846154,0.0,0.2978723404255319
