school,sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_father,guardian_mother,guardian_other,Gvg,Avgalc,Bum
0,0,0.6000000000000001,0,1,1,1.0,1.0,0.3333333333333333,0.5,0.0,1,0,0,0,1,1,0,0,0.75,0.5,0.75,0.0,0.0,0.5,0.3,5,6,6,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,0.037037037037037035,0.0,0.26388888888888884
0,0,0.4000000000000003,0,1,0,0.25,0.25,0.0,0.5,0.0,0,1,0,0,0,1,1,0,1.0,0.5,0.5,0.0,0.0,0.5,0.2,5,5,6,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,0.0,0.0,0.22222222222222224
0,0,0.0,0,1,0,1.0,0.5,0.0,1.0,0.0,0,1,1,1,1,1,1,1,0.5,0.25,0.25,0.0,0.0,1.0,0.1,15,14,15,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,0.7037037037037036,0.0,0.0069444444444444475
0,0,0.2000000000000001,0,1,0,0.75,0.75,0.0,0.5,0.0,0,1,1,0,1,1,0,0,0.75,0.5,0.25,0.0,0.25,1.0,0.2,6,10,10,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,0.2222222222222222,0.125,0.29166666666666674
0,1,0.2000000000000001,0,0,0,1.0,0.75,0.0,0.5,0.0,0,1,1,1,1,1,1,0,1.0,0.75,0.25,0.0,0.25,1.0,0.5,15,15,15,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,0.7407407407407408,0.125,0.45138888888888895
0,1,0.2000000000000001,0,0,0,0.5,0.5,0.0,0.5,0.0,0,0,0,0,1,1,1,0,0.75,0.75,0.75,0.0,0.0,0.5,0.0,12,12,11,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,0.5185185185185185,0.0,0.17361111111111113
0,0,0.4000000000000003,0,1,1,1.0,1.0,0.3333333333333333,0.5,0.0,1,1,0,0,1,1,0,0,0.75,0.0,0.75,0.0,0.0,0.0,0.3,6,5,6,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.037037037037037035,0.0,0.19444444444444445
0,1,0.0,0,0,1,0.75,0.5,0.0,0.5,0.0,0,1,1,0,1,1,1,0,0.75,0.25,0.25,0.0,0.0,0.0,0.0,16,18,19,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,0.8888888888888887,0.0,0.10416666666666666
0,1,0.0,0,1,0,0.75,1.0,0.0,0.5,0.0,0,1,1,1,1,1,1,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,14,15,15,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,0.7037037037037036,0.0,0.20833333333333334
0,0,0.0,0,1,0,1.0,1.0,0.0,0.5,0.0,0,1,1,0,1,1,1,0,0.5,0.5,0.5,0.0,0.25,0.25,0.0,10,8,9,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,0.2962962962962963,0.125,0.20833333333333334
