school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
'GP','f',0.40000000000000036,'U','GT3','T',0.25,0.25,'at_home','other','course','father',0.0,0.5,0.0,'no','yes','no','no','no','yes','yes','no',1.0,0.5,0.5,0.0,0.0,0.5,0.13333333333333333,9,11,11
'GP','f',0.0,'U','LE3','T',0.25,0.25,'at_home','other','other','mother',0.0,0.5,0.0,'yes','no','no','no','yes','yes','yes','no',0.75,0.5,0.25,0.5,0.5,0.5,0.4,12,13,12
'GP','f',0.0,'U','GT3','T',1.0,0.5,'health','services','home','mother',0.0,1.0,0.0,'no','yes','no','yes','yes','yes','yes','yes',0.5,0.25,0.25,0.0,0.0,1.0,0.0,14,14,14
'GP','f',0.20000000000000018,'U','GT3','T',0.75,0.75,'other','other','home','father',0.0,0.5,0.0,'no','yes','no','no','yes','yes','no','no',0.75,0.5,0.25,0.0,0.25,1.0,0.0,11,13,13
'GP','f',0.40000000000000036,'U','GT3','A',1.0,1.0,'other','teacher','home','mother',0.3333333333333333,0.5,0.0,'yes','yes','no','no','yes','yes','no','no',0.75,0.0,0.75,0.0,0.0,0.0,0.13333333333333333,10,13,13
'GP','f',0.0,'U','GT3','T',1.0,1.0,'teacher','health','reputation','mother',0.0,0.5,0.0,'no','yes','no','no','yes','yes','yes','no',0.5,0.5,0.5,0.0,0.25,0.25,0.13333333333333333,14,14,14
'GP','f',0.0,'U','GT3','T',0.5,0.25,'services','other','reputation','father',0.6666666666666667,1.0,0.0,'no','yes','no','yes','yes','yes','yes','no',1.0,0.25,0.25,0.0,0.0,0.75,0.0,10,12,13
'GP','f',0.20000000000000018,'U','GT3','T',1.0,1.0,'health','other','home','mother',0.0,0.0,0.0,'no','yes','no','no','yes','yes','yes','no',0.75,0.75,0.75,0.0,0.25,0.25,0.4,17,17,17
'GP','f',0.20000000000000018,'U','GT3','T',1.0,1.0,'services','services','reputation','mother',0.0,1.0,0.0,'no','yes','no','yes','yes','yes','yes','no',0.5,0.25,0.5,0.0,0.25,0.25,0.6666666666666666,13,13,14
'GP','f',0.20000000000000018,'U','GT3','T',0.75,0.75,'other','other','reputation','mother',0.6666666666666667,0.5,0.0,'yes','yes','no','yes','yes','yes','no','no',1.0,0.5,0.25,0.0,0.0,0.75,0.13333333333333333,13,14,14
'GP','f',0.0,'R','GT3','T',0.5,1.0,'services','health','course','mother',0.0,1.0,0.0,'yes','yes','no','yes','yes','yes','yes','no',0.75,0.5,0.25,0.0,0.0,1.0,0.13333333333333333,10,11,10
'GP','f',0.20000000000000018,'U','GT3','T',0.5,0.5,'services','services','home','mother',0.0,0.0,0.0,'no','yes','no','no','no','yes','yes','no',0.0,0.25,0.25,0.0,0.5,1.0,0.4,10,11,12
'GP','f',0.0,'U','GT3','T',0.5,0.75,'other','other','other','father',0.3333333333333333,0.0,0.0,'no','yes','no','yes','yes','yes','no','no',0.5,1.0,0.0,0.0,0.0,1.0,0.26666666666666666,11,11,11
'GP','f',0.0,'R','GT3','T',0.75,1.0,'services','health','course','mother',0.0,1.0,0.0,'yes','yes','no','yes','yes','yes','yes','no',0.75,0.5,0.25,0.0,0.0,1.0,0.13333333333333333,11,12,12
'GP','f',0.0,'R','GT3','T',0.5,0.5,'at_home','other','reputation','mother',0.0,0.0,0.0,'yes','yes','no','yes','yes','yes','no','no',0.75,0.5,0.0,0.0,0.0,0.25,0.5333333333333333,14,13,12
'GP','f',0.0,'U','LE3','A',1.0,0.75,'other','other','course','mother',0.0,0.5,0.0,'yes','yes','yes','yes','yes','yes','yes','yes',1.0,0.25,0.25,0.0,0.0,1.0,0.26666666666666666,10,11,11
'GP','f',0.20000000000000018,'U','LE3','A',0.75,0.75,'other','services','home','mother',0.0,0.5,0.0,'no','yes','no','no','yes','yes','yes','no',0.25,0.5,1.0,0.0,0.75,0.5,0.4,13,12,13
'GP','f',0.0,'U','GT3','T',1.0,1.0,'services','teacher','other','father',0.0,0.5,0.0,'yes','yes','no','yes','no','yes','yes','no',0.75,0.75,0.75,0.0,0.0,0.5,0.13333333333333333,13,12,12
'GP','f',0.20000000000000018,'U','LE3','T',0.5,0.5,'services','services','course','mother',0.6666666666666667,0.5,0.0,'no','yes','no','no','yes','yes','yes','no',0.75,0.5,0.5,0.5,0.5,0.75,0.0,14,13,13
'GP','f',0.0,'U','LE3','T',1.0,0.5,'health','other','other','mother',0.0,0.5,0.0,'no','yes','no','no','yes','yes','yes','no',0.75,0.5,0.5,0.0,0.0,1.0,0.0,16,14,16
'GP','f',0.0,'U','GT3','T',1.0,1.0,'services','services','course','mother',0.0,0.0,0.0,'yes','yes','no','no','yes','yes','yes','no',0.5,0.5,0.75,0.5,0.5,1.0,0.0,13,12,12
