school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Gvg,Avgalc,Bum
0,0,18,0,1,1,4,4,3,0,2,0,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,6,5,6,6,5.5,1.0,17.0
0,0,17,0,1,0,1,1,3,4,2,1,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,4,5,5,6,5.0,1.0,14.0
0,0,15,0,0,0,1,1,3,4,3,0,1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,3,10,7,8,10,7.5,2.5,32.0
0,0,15,0,1,0,4,2,1,2,0,0,1,3,0,0,1,1,1,1,1,1,1,3,2,2,1,1,5,2,15,14,15,14.5,1.0,9.0
0,0,16,0,1,0,3,3,4,4,0,1,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4,6,10,10,8.0,1.5,15.0
0,0,17,0,1,1,4,4,4,0,0,0,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6,6,5,6,5.5,1.0,15.0
0,0,15,0,1,0,4,4,0,1,1,0,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,10,8,9,9.0,1.5,9.0
0,0,15,0,1,0,2,1,2,4,1,1,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,10,12,12,11.0,1.0,12.0
0,0,16,0,1,0,4,4,1,4,0,0,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,14,14,14,14.0,1.5,17.0
0,0,16,0,1,0,4,4,2,2,1,0,1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,2,6,13,14,14,13.5,1.5,16.0
0,0,16,0,1,0,3,3,4,4,1,0,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4,8,10,10,9.0,1.0,14.0
0,0,15,1,1,0,2,4,2,1,2,0,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,10,9,8,9.5,1.0,10.0
0,0,16,0,1,0,2,2,2,2,0,0,1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,5,14,6,9,8,7.5,2.0,35.0
0,0,15,0,1,0,2,3,4,4,3,1,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,0,8,7,6,7.5,1.0,11.0
0,0,15,1,1,0,3,4,2,1,2,0,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,12,12,11,12.0,1.0,10.0
0,0,15,1,1,0,2,2,3,4,1,0,1,1,0,1,1,1,1,1,1,0,0,4,3,1,1,1,2,8,14,13,13,13.5,1.0,21.0
0,0,16,0,0,0,2,2,4,4,0,0,2,2,1,0,1,0,1,0,1,1,1,3,3,3,1,2,3,25,7,10,11,8.5,1.5,48.5
0,0,16,0,0,0,2,2,4,3,2,1,2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14,10,10,9,10.0,2.0,33.0
