school,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,Mjob_'at_home',Mjob_'health',Mjob_'other',Mjob_'services',Mjob_'teacher',Fjob_'at_home',Fjob_'health',Fjob_'other',Fjob_'services',Fjob_'teacher',reason_'course',reason_'home',reason_'other',reason_'reputation',guardian_'father',guardian_'mother',guardian_'other',Gvg,Avgalc,Bum
,18,,,,4,3,2,2,0,0,1,1,0,1,1,1,1,4,4,5,1,2,2,10,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,9.0,1.5,25.0
,17,,,,3,2,2,2,0,0,0,1,0,1,1,1,0,4,4,4,1,3,1,2,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,14.5,2.0,14.0
,17,,,,3,2,1,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,2,4,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,9.5,2.5,17.0
,16,,,,4,3,1,3,0,1,1,1,1,1,1,1,0,3,4,4,2,4,4,2,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,9.5,3.0,15.0
,16,,,,2,2,1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,5,14,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,7.5,2.0,35.0
,15,,,,2,2,2,2,0,1,1,1,0,1,1,1,0,4,1,3,1,3,4,2,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,8.5,2.0,11.0
,16,,,,4,4,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,6,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,10.5,2.5,21.0
,15,,,,1,1,1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,9.5,2.5,14.0
,18,,,,1,1,3,1,3,0,1,0,1,0,1,0,0,5,2,5,1,5,4,6,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,8.5,3.0,27.0
,17,,,,1,1,1,2,0,0,1,1,0,0,1,0,0,4,4,4,1,3,1,4,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,9.0,2.0,17.0
,17,,,,4,3,1,3,0,0,1,1,0,1,1,1,0,4,2,2,1,2,3,0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,15.0,1.5,7.0
,16,,,,2,1,1,2,0,0,1,1,0,1,1,0,1,4,3,5,1,1,5,2,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,8.5,1.0,11.0
,17,,,,3,2,1,2,0,0,0,0,1,0,1,1,0,5,3,4,1,3,3,10,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,15.5,2.0,25.0
,17,,,,4,4,2,3,0,0,1,1,0,0,1,1,1,4,3,3,1,2,4,4,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,14.0,1.5,14.0
