school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Gvg,Avgalc,Bum
0,1,16,0,0,0,4,3,services,other,reputation,mother,1,2,0,0,1,1,1,1,1,1,0,5,4,2,1,2,5,10,15,15,15,15.0,1.5,25.0
0,1,16,0,0,0,2,2,other,other,home,mother,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,12,12,11,12.0,1.0,9.0
0,1,15,0,0,1,3,2,services,other,home,mother,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,1,0,16,18,19,17.0,1.0,7.0
0,1,15,0,1,0,3,4,other,other,home,mother,1,2,0,0,1,1,1,1,1,1,0,5,5,1,1,1,5,0,14,15,15,14.5,1.0,10.0
0,1,15,0,0,0,4,4,health,services,course,father,1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,5,2,14,14,14,14.0,2.0,14.0
0,1,15,0,1,0,4,3,teacher,other,course,mother,2,2,0,0,1,1,0,1,1,1,0,5,4,3,1,2,3,2,10,10,11,10.0,1.5,13.0
0,1,15,0,1,1,2,2,other,other,home,other,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,14,16,16,15.0,1.0,9.0
0,1,17,0,1,0,3,2,services,services,course,mother,1,1,3,0,1,0,1,1,1,1,0,5,5,5,2,4,5,16,6,5,5,5.5,3.0,45.0
0,1,16,0,0,0,4,3,health,other,home,father,1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4,8,10,10,9.0,2.0,15.0
0,1,15,0,1,0,4,3,teacher,other,reputation,mother,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,13,14,15,13.5,1.0,9.0
0,1,15,0,1,0,4,4,health,health,other,father,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,12,15,15,13.5,1.0,10.0
0,1,16,0,0,0,4,2,teacher,other,course,mother,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,2,15,15,16,15.0,2.0,15.0
0,1,16,0,0,0,2,2,other,other,reputation,mother,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,0,13,13,12,13.0,3.0,13.0
0,1,15,0,1,0,2,2,other,other,home,mother,1,1,0,0,1,1,0,1,1,1,0,4,2,2,1,2,5,2,12,12,11,12.0,1.5,12.0
0,1,15,0,1,0,4,2,health,services,other,mother,1,1,0,0,0,1,0,1,1,1,0,2,2,4,2,4,1,4,15,16,15,15.5,3.0,18.0
0,1,16,0,0,1,3,4,services,other,home,mother,1,2,0,1,1,0,1,1,1,1,0,5,3,3,1,1,5,4,11,11,11,11.0,1.0,14.0
0,1,16,0,1,0,4,4,teacher,teacher,home,mother,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,16,10,12,11,11.0,5.0,41.0
0,1,15,0,1,0,4,4,health,services,home,mother,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,9,11,12,10.0,3.5,14.0
0,1,15,0,1,0,4,4,services,services,reputation,mother,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,0,17,16,17,16.5,1.0,8.0
0,1,15,1,1,0,4,3,teacher,at_home,course,mother,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,17,16,16,16.5,1.0,10.0
0,1,15,0,0,0,3,3,other,other,course,mother,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,8,10,12,9.0,1.0,8.0
0,1,16,0,1,0,3,2,other,other,home,mother,1,1,0,0,1,1,0,0,1,1,0,5,4,3,1,1,5,0,12,14,15,13.0,1.0,10.0
0,1,15,0,0,0,4,3,teacher,services,home,mother,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,2,15,16,18,15.5,1.0,11.0
0,1,16,1,1,1,4,4,other,teacher,reputation,mother,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,7,15,16,15,15.5,1.0,18.5
0,1,15,0,0,0,4,4,teacher,other,home,other,1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8,12,12,12,12.0,3.0,26.0
0,1,15,0,1,0,4,4,services,teacher,course,father,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,2,19,18,18,18.5,1.0,11.0
0,1,15,0,1,0,2,2,services,services,course,father,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,8,8,11,8.0,1.0,10.0
0,1,16,0,1,0,4,3,health,services,reputation,mother,1,4,0,0,0,0,1,1,1,1,0,4,2,2,1,1,2,4,19,19,20,19.0,1.0,11.0
0,1,15,0,1,0,4,2,teacher,other,home,mother,1,2,0,0,1,1,0,1,1,0,0,4,3,3,2,2,5,2,15,15,14,15.0,2.0,13.0
0,1,15,0,0,1,4,2,health,health,other,father,2,1,1,0,0,0,0,1,1,0,0,5,5,5,3,4,5,6,11,11,10,11.0,3.5,27.0
0,1,15,0,1,0,4,4,teacher,health,reputation,mother,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,4,14,15,15,14.5,1.0,13.0
0,1,15,0,0,0,1,2,other,at_home,home,father,1,2,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,9,10,9,9.5,1.0,11.0
0,1,15,0,1,1,4,4,other,services,reputation,mother,1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,4,13,13,12,13.0,5.0,20.0
0,1,16,0,1,0,3,1,other,other,reputation,father,2,4,0,0,1,1,0,1,1,1,0,4,3,2,1,1,5,0,13,15,15,14.0,1.0,6.0
0,1,15,0,1,0,4,2,other,other,course,mother,1,4,0,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,10,10,10,10.0,1.0,6.0
0,1,16,0,1,0,3,1,other,other,reputation,mother,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,2,12,12,14,12.0,2.0,14.0
0,1,15,0,1,0,4,3,teacher,other,home,mother,1,2,0,0,1,1,1,1,1,1,0,4,3,3,2,3,5,6,9,9,10,9.0,2.5,20.0
0,1,15,0,1,0,4,0,teacher,other,course,mother,2,4,0,0,0,0,1,1,1,1,0,3,4,3,1,1,1,8,11,11,10,11.0,1.0,19.0
0,1,17,0,1,0,2,1,other,other,home,mother,2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,2,8,8,10,8.0,1.0,20.0
0,1,15,0,1,0,2,3,other,services,course,father,1,1,0,1,1,1,1,0,1,1,1,3,2,2,1,3,3,2,10,12,12,11.0,2.0,13.0
0,1,15,0,1,0,2,3,other,other,home,mother,1,3,0,1,0,1,0,0,1,1,0,5,3,2,1,2,5,4,11,10,11,10.5,1.5,14.0
0,1,15,0,0,0,2,2,services,services,home,mother,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,4,15,15,15,15.0,2.0,16.0
0,1,16,0,1,0,2,2,services,other,reputation,father,2,2,1,0,0,1,1,0,1,1,0,4,4,2,1,1,3,12,11,10,10,10.5,1.0,29.0
0,1,16,0,0,1,4,4,teacher,health,reputation,mother,1,2,0,0,1,0,0,1,1,0,0,4,1,3,3,5,5,18,8,6,7,7.0,4.0,39.0
0,1,15,0,0,0,2,2,services,health,reputation,mother,1,4,0,0,1,0,1,1,1,1,0,4,3,4,1,1,4,6,11,13,14,12.0,1.0,15.0
0,1,16,1,1,0,4,3,services,other,reputation,mother,2,1,0,1,1,0,1,0,1,1,0,3,3,3,1,1,4,2,11,15,15,13.0,1.0,12.0
0,1,16,0,1,0,4,4,services,services,other,mother,1,1,0,1,1,1,1,1,1,1,0,4,5,5,5,5,4,14,7,7,5,7.0,5.0,40.0
0,1,16,0,1,0,4,4,services,teacher,other,father,1,3,0,0,1,0,1,1,1,1,1,4,4,3,1,1,4,0,16,17,17,16.5,1.0,8.0
0,1,15,0,1,0,4,4,services,other,course,mother,1,1,0,0,1,0,1,0,1,1,0,5,3,3,1,1,5,4,10,13,14,11.5,1.0,15.0
0,1,15,0,1,1,3,4,services,other,course,mother,1,2,0,0,1,1,1,1,1,1,0,5,4,4,1,1,1,0,16,18,18,17.0,1.0,9.0
0,1,16,0,1,0,3,3,services,other,home,father,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,2,16,18,18,17.0,1.0,10.0
