school,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,Mjob_'at_home',Mjob_'health',Mjob_'other',Mjob_'services',Mjob_'teacher',Fjob_'at_home',Fjob_'health',Fjob_'other',Fjob_'services',Fjob_'teacher',reason_'course',reason_'home',reason_'other',reason_'reputation',guardian_'father',guardian_'mother',guardian_'other',Gvg,Avgalc,Bum
,16,,,,3,3,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,9.0,1.0,14.0
,17,,,,4,3,2,2,0,0,1,1,1,0,1,1,1,4,5,5,1,3,2,4,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,12.0,2.0,18.0
,15,,,,2,4,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,9.5,1.0,10.0
,15,,,,3,4,1,2,0,1,0,0,1,1,1,1,1,5,3,2,1,1,1,0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,8.5,1.0,8.0
,18,,,,4,3,1,3,0,0,0,0,0,1,1,1,1,5,3,2,1,2,4,9,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,15.5,1.5,21.5
,17,,,,4,3,2,2,0,0,0,1,1,1,1,1,0,4,4,4,4,4,4,4,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,9.5,4.0,21.0
,17,,,,4,4,1,2,0,1,1,0,1,1,1,1,1,4,5,5,1,3,2,14,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,10.0,2.0,33.0
,16,,,,3,3,1,1,0,0,1,0,1,1,1,1,0,4,3,2,3,4,5,8,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,8.5,3.5,26.0
,17,,,,2,1,3,2,0,0,0,0,1,1,1,0,0,2,1,1,1,1,3,2,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,12.0,1.0,9.0
,15,,,,3,3,2,3,2,0,1,1,1,1,1,1,1,4,2,1,2,3,3,8,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,10.0,2.5,25.0
