school,sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_father,guardian_mother,guardian_other,Gvg,Avgalc,Bum
0,1,0.2000000000000001,0,1,0,0.25,0.5,0.0,0.0,0.0,0,1,1,1,1,1,1,1,0.5,0.5,0.5,0.0,0.25,0.5,0.1,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,0.46153846153846156,0.125,0.375886524822695
0,1,0.2000000000000001,0,1,0,1.0,1.0,0.0,0.5,0.0,0,1,1,1,1,1,1,0,0.75,0.25,0.75,0.5,0.75,0.0,0.1,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,0.6153846153846154,0.625,0.4822695035460993
0,1,0.0,0,1,0,1.0,1.0,0.0,0.0,0.0,0,1,1,0,1,1,1,0,1.0,0.75,0.25,0.0,0.0,1.0,0.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,0.6153846153846154,0.0,0.2978723404255319
0,1,0.2000000000000001,0,0,1,1.0,1.0,0.0,0.5,0.0,0,1,0,0,1,1,0,0,0.75,0.0,0.5,1.0,1.0,1.0,0.9,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,0.11538461538461542,1.0,1.0
1,1,0.6000000000000001,1,1,0,0.5,0.25,0.3333333333333333,0.0,0.0,0,0,0,1,0,1,1,1,0.75,0.75,0.5,0.0,0.5,1.0,0.25,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,0.07692307692307687,0.25,0.5460992907801419
0,1,0.2000000000000001,1,0,0,0.75,0.75,0.6666666666666667,0.0,0.0,0,1,1,1,1,1,1,0,0.5,0.5,0.75,1.0,1.0,0.5,0.4,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,0.26923076923076916,1.0,1.0
0,1,0.2000000000000001,0,1,0,0.75,0.25,0.0,0.0,0.0,0,0,0,1,1,1,0,0,1.0,0.5,0.25,0.5,0.25,1.0,0.1,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,0.5,0.375,0.5177304964539007
0,1,0.0,0,1,0,0.75,1.0,0.0,0.0,0.0,1,0,0,0,1,1,1,0,1.0,1.0,1.0,1.0,0.25,1.0,0.0,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,0.5769230769230769,0.625,0.6879432624113475
0,1,0.8000000000000003,0,0,1,1.0,0.75,0.0,0.5,0.0,0,1,0,0,1,1,1,0,0.75,0.5,0.0,0.0,0.0,0.0,0.6000000000000001,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,0.42307692307692313,0.0,0.3758865248226951
0,1,0.0,0,1,0,1.0,0.75,0.3333333333333333,0.5,0.0,0,1,1,0,1,1,1,0,1.0,0.75,0.5,0.0,0.25,0.5,0.1,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,0.34615384615384615,0.125,0.2695035460992908
0,1,0.2000000000000001,0,1,0,1.0,1.0,0.0,0.0,0.0,0,0,0,1,1,1,1,0,1.0,0.5,0.25,0.0,0.25,1.0,0.0,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,0.5384615384615384,0.125,0.33333333333333337
0,1,0.4000000000000003,0,1,0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1,1,0,1.0,0.25,0.5,0.0,0.25,1.0,0.2,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,0.8076923076923077,0.125,0.3829787234042554
0,1,0.0,0,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,1,1,1,1,0,1.0,1.0,0.5,0.0,0.0,0.75,0.3,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,1.0,0.0,0.46099290780141844
0,1,0.0,1,1,0,0.5,0.75,0.0,0.5,0.0,1,0,1,1,1,1,0,0,0.75,0.75,0.75,0.0,0.0,0.0,0.1,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,0.3076923076923077,0.0,0.1985815602836879
0,1,0.2000000000000001,0,1,0,1.0,1.0,0.0,1.0,0.0,0,1,0,1,1,1,1,1,0.75,0.75,0.5,0.0,0.0,0.75,0.0,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,0.8461538461538463,0.0,0.014184397163120574
0,1,0.0,0,1,0,1.0,1.0,0.3333333333333333,0.5,0.0,0,1,0,1,1,1,1,0,0.75,0.5,0.0,0.0,0.0,1.0,0.0,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,0.8461538461538463,0.0,0.12056737588652484
0,1,0.2000000000000001,1,1,0,0.75,0.75,0.0,0.0,0.0,0,1,0,1,1,1,1,0,0.75,0.5,0.25,1.0,0.75,1.0,0.4,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,0.23076923076923073,0.875,0.9290780141843973
0,1,0.2000000000000001,1,1,0,1.0,0.75,0.3333333333333333,0.0,0.0,1,1,0,1,0,1,1,0,0.5,0.5,0.5,0.0,0.0,0.75,0.1,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,0.5769230769230769,0.0,0.3049645390070922
0,1,0.6000000000000001,0,1,0,0.5,0.25,0.0,0.5,0.0,0,0,0,1,1,1,1,0,1.0,0.25,0.75,0.0,0.25,0.75,0.4,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,0.6923076923076923,0.125,0.3262411347517731
0,1,0.2000000000000001,0,0,0,1.0,0.75,0.0,0.0,0.0,0,0,1,1,1,1,1,0,0.5,0.0,0.5,0.0,0.5,1.0,0.2,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,0.26923076923076916,0.25,0.4184397163120568
0,1,0.0,0,1,0,1.0,1.0,0.3333333333333333,0.5,0.0,0,1,0,1,1,1,0,0,0.75,0.75,0.5,0.0,0.0,0.25,0.1,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,0.5,0.0,0.1985815602836879
1,1,0.6000000000000001,0,1,0,1.0,1.0,0.0,0.5,0.0,0,0,1,1,0,1,1,0,0.5,0.25,0.75,0.0,0.75,0.25,0.2,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,0.6923076923076923,0.375,0.3829787234042554
0,1,0.2000000000000001,0,1,0,0.5,0.25,0.6666666666666667,0.0,0.0,0,0,0,0,1,1,1,0,0.75,0.5,0.5,0.0,0.0,0.75,0.3,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0.9615384615384615,0.0,0.3900709219858156
