school,sex,age,address,famsize,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_father,guardian_mother,guardian_other,Pstatus_A,Pstatus_T,Gvg,Avgalc,Bum
0,0,18,0,1,4,4,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,6,5,6,6,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,5.5,1.0,17.0
0,0,17,0,1,1,1,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,4,5,5,6,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,5.0,1.0,14.0
0,0,15,0,0,1,1,1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,3,10,7,8,10,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,7.5,2.5,32.0
0,0,15,0,1,4,2,1,3,0,0,1,1,1,1,1,1,1,3,2,2,1,1,5,2,15,14,15,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,14.5,1.0,9.0
0,0,16,0,1,3,3,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4,6,10,10,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,8.0,1.5,15.0
0,1,16,0,0,4,3,1,2,0,0,1,1,1,1,1,1,0,5,4,2,1,2,5,10,15,15,15,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,15.0,1.5,25.0
0,1,16,0,0,2,2,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,12,12,11,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,12.0,1.0,9.0
0,0,17,0,1,4,4,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6,6,5,6,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,5.5,1.0,15.0
0,1,15,0,0,3,2,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,1,0,16,18,19,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,17.0,1.0,7.0
0,1,15,0,1,3,4,1,2,0,0,1,1,1,1,1,1,0,5,5,1,1,1,5,0,14,15,15,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,14.5,1.0,10.0
0,0,15,0,1,4,4,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,10,8,9,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,9.0,1.5,9.0
0,0,15,0,1,2,1,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,10,12,12,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,11.0,1.0,12.0
0,1,15,0,0,4,4,1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,5,2,14,14,14,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,14.0,2.0,14.0
0,1,15,0,1,4,3,2,2,0,0,1,1,0,1,1,1,0,5,4,3,1,2,3,2,10,10,11,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,10.0,1.5,13.0
0,1,15,0,1,2,2,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,14,16,16,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,15.0,1.0,9.0
0,0,16,0,1,4,4,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,14,14,14,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,14.0,1.5,17.0
