school,sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_father,guardian_mother,guardian_other,Gvg,Avgalc,Bum
0,0,0.4000000000000003,0,1,0,0.25,0.25,0.0,1.0,0.0,0,1,1,0,1,1,1,0,0.75,0.5,0.5,0.0,0.0,0.5,0.3,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,0.5555555555555555,0.0,0.125
0,1,0.0,0,0,0,0.75,0.75,0.0,0.5,0.0,0,0,0,1,0,1,1,0,1.0,0.5,0.25,0.0,0.0,0.25,0.0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0.2962962962962963,0.0,0.1388888888888889
0,1,0.2000000000000001,1,1,0,0.75,0.75,0.0,0.0,0.0,0,1,0,1,1,1,1,0,0.75,0.5,0.25,1.0,0.75,1.0,0.4,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,0.2592592592592592,0.875,0.9305555555555556
0,0,0.4000000000000003,0,0,0,0.75,0.5,0.3333333333333333,0.5,0.0,0,0,1,0,1,1,1,0,0.75,0.75,0.75,0.0,0.5,0.0,0.1,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,0.7037037037037036,0.25,0.35416666666666663
0,0,0.2000000000000001,0,1,0,1.0,1.0,0.0,1.0,0.0,0,1,0,1,0,1,1,0,1.0,0.5,0.25,0.0,0.0,1.0,0.0,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,0.5925925925925926,0.0,0.0
0,1,0.2000000000000001,0,0,0,0.5,0.5,0.0,0.5,0.0,0,0,0,0,1,1,1,0,0.75,0.75,0.75,0.0,0.0,0.5,0.0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,0.5185185185185185,0.0,0.17361111111111113
0,1,0.2000000000000001,0,1,0,0.75,0.25,0.0,0.0,0.0,0,0,0,1,1,1,0,0,1.0,0.5,0.25,0.5,0.25,1.0,0.1,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,0.5185185185185185,0.375,0.5277777777777778
0,0,0.4000000000000003,1,1,0,0.75,1.0,0.0,1.0,0.0,0,1,1,1,0,1,1,0,0.75,0.5,0.75,0.5,1.0,1.0,0.0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,0.4444444444444444,0.75,0.41666666666666674
0,1,0.4000000000000003,1,1,0,0.5,0.5,0.3333333333333333,0.5,0.0,0,1,1,1,1,1,1,0,0.75,1.0,0.25,0.0,0.0,0.0,0.2,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,0.4444444444444444,0.0,0.29166666666666674
1,0,0.6000000000000001,1,1,0,1.0,1.0,0.6666666666666667,0.0,0.0,0,1,1,1,1,1,1,1,0.75,0.75,0.5,0.5,0.25,1.0,0.35,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,0.037037037037037035,0.375,0.6666666666666667
