school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Gvg,Avgalc,Bum
0,0,18,0,1,1,4,4,at_home,teacher,course,mother,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,4,0,11,11,5.5,1.0,14.0
0,0,17,0,1,0,1,1,at_home,other,course,father,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,2,9,11,11,10.0,1.0,11.0
0,0,15,0,0,0,1,1,at_home,other,other,mother,1,2,0,1,0,0,0,1,1,1,0,4,3,2,2,3,3,6,12,13,12,12.5,2.5,20.0
0,0,15,0,1,0,4,2,health,services,home,mother,1,3,0,0,1,0,1,1,1,1,1,3,2,2,1,1,5,0,14,14,14,14.0,1.0,6.0
0,0,16,0,1,0,3,3,other,other,home,father,1,2,0,0,1,0,0,1,1,0,0,4,3,2,1,2,5,0,11,13,13,12.0,1.5,9.0
0,0,17,0,1,1,4,4,other,teacher,home,mother,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,2,10,13,13,11.5,1.0,9.0
0,0,15,0,1,0,4,4,teacher,health,reputation,mother,1,2,0,0,1,0,0,1,1,1,0,3,3,3,1,2,2,2,14,14,14,14.0,1.5,12.0
0,0,15,0,1,0,2,1,services,other,reputation,father,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,0,10,12,13,11.0,1.0,6.0
0,0,16,0,1,0,4,4,health,other,home,mother,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,6,17,17,17,17.0,1.5,20.0
0,0,16,0,1,0,4,4,services,services,reputation,mother,1,3,0,0,1,0,1,1,1,1,0,3,2,3,1,2,2,10,13,13,14,13.0,1.5,22.0
0,0,16,0,1,0,3,3,other,other,reputation,mother,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,2,13,14,14,13.5,1.0,11.0
0,0,15,1,1,0,2,4,services,health,course,mother,1,3,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,10,11,10,10.5,1.0,10.0
0,0,16,0,1,0,2,2,services,services,home,mother,1,1,0,0,1,0,0,0,1,1,0,1,2,2,1,3,5,6,10,11,12,10.5,2.0,19.0
0,0,15,0,1,0,2,3,other,other,other,father,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,4,11,11,11,11.0,1.0,17.0
0,0,15,1,1,0,3,4,services,health,course,mother,1,3,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,11,12,12,11.5,1.0,10.0
0,0,15,1,1,0,2,2,at_home,other,reputation,mother,1,1,0,1,1,0,1,1,1,0,0,4,3,1,1,1,2,8,14,13,12,13.5,1.0,21.0
0,0,16,0,0,0,2,2,other,other,home,mother,2,2,0,0,1,0,1,0,1,1,1,3,3,3,1,2,3,16,11,11,10,11.0,1.5,33.0
0,0,16,0,0,0,2,2,other,at_home,course,father,2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14,10,11,11,10.5,2.0,33.0
0,0,15,0,0,1,4,3,other,other,course,mother,1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,4,10,11,11,10.5,1.0,13.0
0,0,16,0,0,1,3,3,other,services,home,mother,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,6,13,12,13,12.5,2.5,20.0
0,0,15,0,1,0,4,4,services,teacher,other,father,1,2,0,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2,13,12,12,12.5,1.0,12.0
0,0,16,0,0,0,2,2,services,services,course,mother,3,2,0,0,1,0,0,1,1,1,0,4,3,3,2,3,4,0,14,13,13,13.5,2.5,11.0
0,0,15,0,0,0,4,2,health,other,other,mother,1,2,0,0,1,0,0,1,1,1,0,4,3,3,1,1,5,0,16,14,16,15.0,1.0,8.0
0,0,15,0,1,0,4,4,services,services,course,mother,1,1,0,1,1,0,0,1,1,1,0,3,3,4,2,3,5,0,13,12,12,12.5,2.5,12.0
0,0,15,0,0,1,3,3,other,other,other,mother,1,1,0,0,0,0,0,1,1,1,0,5,3,4,4,4,1,0,13,12,13,12.5,4.0,15.0
0,0,16,0,1,1,2,1,other,other,other,mother,1,2,0,0,0,0,1,1,1,1,1,5,3,4,1,1,2,2,12,13,12,12.5,1.0,11.0
0,0,15,0,1,1,4,3,services,services,reputation,mother,1,2,0,0,1,0,1,1,1,1,0,4,3,2,1,1,1,0,15,14,15,14.5,1.0,8.0
0,0,16,0,1,0,4,2,services,other,course,mother,1,2,0,0,1,1,0,1,1,1,0,4,2,3,1,1,5,2,16,15,16,15.5,1.0,10.0
0,0,16,1,1,0,4,4,health,teacher,other,mother,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,0,17,16,16,16.5,2.5,12.0
0,0,16,0,1,0,1,1,services,services,course,father,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,0,10,10,16,10.0,5.0,19.0
0,0,16,0,0,0,1,2,other,services,reputation,father,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,0,13,13,10,13.0,1.0,9.0
0,0,16,0,1,0,4,3,teacher,health,home,mother,1,3,0,1,1,0,1,1,1,1,0,3,4,4,2,4,4,0,14,13,13,13.5,3.0,12.0
0,0,15,0,0,0,4,3,services,services,reputation,father,1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,4,2,0,13,12,12,12.5,3.0,13.0
0,0,16,0,0,0,4,3,teacher,services,course,mother,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,16,15,16,15.5,1.5,13.0
0,0,16,0,1,0,3,1,services,other,course,mother,1,4,0,1,1,0,0,1,1,1,0,4,3,3,1,2,5,0,10,9,10,9.5,1.5,7.0
0,0,15,1,0,0,2,2,health,services,reputation,mother,2,2,0,1,1,0,0,1,1,1,0,4,1,3,1,3,4,0,11,10,11,10.5,2.0,8.0
0,0,15,1,0,0,3,1,other,other,reputation,father,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,6,15,15,15,15.0,2.5,19.0
0,0,15,1,1,0,1,1,other,other,reputation,mother,1,2,0,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2,13,11,11,12.0,3.0,15.0
0,0,16,0,1,0,3,3,other,services,home,mother,1,2,0,1,1,0,1,1,1,1,0,4,3,3,2,4,5,4,11,11,11,11.0,3.0,18.0
0,0,16,0,1,0,2,2,other,other,reputation,mother,1,4,0,0,0,0,0,1,1,1,1,5,2,3,1,3,3,1,13,13,13,13.0,2.0,8.5
0,0,16,0,1,0,3,4,at_home,other,course,mother,1,2,0,0,1,0,0,1,1,1,0,2,4,3,1,2,3,14,12,11,11,11.5,1.5,31.0
0,0,15,0,0,0,3,2,services,other,reputation,mother,1,2,0,0,1,0,0,1,1,1,0,4,4,4,1,1,5,4,12,11,11,11.5,1.0,15.0
