school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Gvg,Avgalc,Bum
0,1,16,0,0,0,4,3,2,4,1,0,1,2,0,0,1,0,1,1,1,1,0,5,4,2,1,2,5,6,12,12,13,12.0,1.5,19.0
0,1,16,0,0,0,2,2,4,4,0,0,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,13,12,13,12.5,1.0,9.0
0,1,15,0,0,1,3,2,2,4,0,0,1,2,0,0,1,0,0,1,1,1,0,4,2,2,1,1,1,0,15,16,17,15.5,1.0,7.0
0,1,15,0,1,0,3,4,4,4,0,0,1,2,0,0,1,0,1,1,1,1,0,5,5,1,1,1,5,0,12,12,13,12.0,1.0,10.0
0,1,15,0,0,0,4,4,1,2,2,1,1,1,0,0,1,0,1,1,1,1,0,4,3,3,1,3,5,0,12,13,12,12.5,2.0,11.0
0,1,15,0,1,0,4,3,0,4,2,0,2,2,0,0,1,0,0,1,1,1,0,5,4,3,1,2,3,0,12,12,13,12.0,1.5,10.0
0,1,15,0,1,1,2,2,4,4,0,2,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,14,14,15,14.0,1.0,9.0
0,1,17,0,1,0,3,2,2,2,2,0,1,1,3,0,1,1,1,1,1,1,0,5,5,5,2,4,5,2,8,8,7,8.0,3.0,24.0
0,1,16,0,0,0,4,3,1,4,0,1,1,1,0,0,0,0,1,1,1,1,0,3,1,3,1,3,5,6,12,12,12,12.0,2.0,18.0
0,1,15,0,1,0,4,3,0,4,1,0,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,12,13,14,12.5,1.0,9.0
0,1,15,0,1,0,4,4,1,1,3,1,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,11,12,12,11.5,1.0,10.0
0,1,16,0,0,0,4,2,0,4,2,0,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,0,12,13,14,12.5,2.0,12.0
0,1,16,0,0,0,2,2,4,4,1,0,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,2,10,10,10,10.0,3.0,16.0
0,1,15,0,1,0,2,2,4,4,0,0,1,1,0,0,1,0,0,1,1,1,0,4,2,2,1,2,5,8,11,12,12,11.5,1.5,21.0
0,1,15,0,1,0,4,2,1,2,3,0,1,1,0,0,0,0,0,1,1,1,0,2,2,4,2,4,1,0,11,11,11,11.0,3.0,12.0
0,1,16,0,0,1,3,4,2,4,0,0,1,2,0,1,1,1,1,1,1,1,0,5,3,3,1,1,5,2,12,12,13,12.0,1.0,11.0
0,1,16,0,1,0,4,4,0,0,0,0,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,4,12,11,12,11.5,5.0,23.0
0,1,15,0,1,0,4,4,1,2,0,0,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,10,11,11,10.5,3.5,14.0
0,1,15,0,1,0,4,4,2,2,1,0,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,2,15,15,15,15.0,1.0,11.0
0,1,15,1,1,0,4,3,0,3,2,0,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,13,14,15,13.5,1.0,10.0
0,1,15,0,0,0,3,3,4,4,2,0,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,13,12,12,12.5,1.0,8.0
0,1,16,0,1,0,3,2,4,4,0,0,1,1,0,0,1,0,0,0,1,1,0,5,4,3,1,1,5,4,12,12,12,12.0,1.0,16.0
0,1,15,0,0,0,4,3,0,2,0,0,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,0,14,14,14,14.0,1.0,8.0
0,1,16,1,1,1,4,4,4,0,1,0,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,4,13,13,13,13.0,1.0,14.0
0,1,15,0,0,0,4,4,0,4,0,2,1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8,10,11,11,10.5,3.0,26.0
0,1,15,0,1,0,4,4,2,0,2,1,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,0,14,15,15,14.5,1.0,8.0
0,1,15,0,1,0,2,2,2,2,2,1,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,9,10,10,9.5,1.0,10.0
