school,sex,age,address,famsize,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_father,guardian_mother,guardian_other,Pstatus_A,Pstatus_T,Gvg,Avgalc,Bum
0,0,18,0,1,4,4,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,4,0,11,11,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,5.5,1.0,14.0
0,0,17,0,1,1,1,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,2,9,11,11,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,10.0,1.0,11.0
0,0,15,0,0,1,1,1,2,0,1,0,0,0,1,1,1,0,4,3,2,2,3,3,6,12,13,12,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,12.5,2.5,20.0
0,0,15,0,1,4,2,1,3,0,0,1,0,1,1,1,1,1,3,2,2,1,1,5,0,14,14,14,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,14.0,1.0,6.0
0,0,16,0,1,3,3,1,2,0,0,1,0,0,1,1,0,0,4,3,2,1,2,5,0,11,13,13,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,12.0,1.5,9.0
0,0,17,0,1,4,4,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,2,10,13,13,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,11.5,1.0,9.0
0,0,15,0,1,4,4,1,2,0,0,1,0,0,1,1,1,0,3,3,3,1,2,2,2,14,14,14,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,14.0,1.5,12.0
0,0,15,0,1,2,1,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,0,10,12,13,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,11.0,1.0,6.0
0,0,16,0,1,4,4,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,6,17,17,17,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,17.0,1.5,20.0
0,0,16,0,1,4,4,1,3,0,0,1,0,1,1,1,1,0,3,2,3,1,2,2,10,13,13,14,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,13.0,1.5,22.0
0,0,16,0,1,3,3,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,2,13,14,14,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,13.5,1.0,11.0
0,0,15,1,1,2,4,1,3,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,10,11,10,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,10.5,1.0,10.0
0,0,16,0,1,2,2,1,1,0,0,1,0,0,0,1,1,0,1,2,2,1,3,5,6,10,11,12,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,10.5,2.0,19.0
0,0,15,0,1,2,3,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,4,11,11,11,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,11.0,1.0,17.0
