school,sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_father,guardian_mother,guardian_other,Gvg,Avgalc,Bum
0,1,0.6000000000000001,0,1,0,1.0,1.0,0.0,0.5,0.0,0,1,0,1,1,1,1,0,0.75,0.5,0.5,0.5,0.25,0.25,0.0,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,0.4736842105263157,0.375,0.3284671532846716
0,1,0.0,0,0,0,0.25,0.5,0.3333333333333333,0.0,0.0,0,0,0,1,1,1,0,0,0.75,0.75,0.75,0.5,0.75,1.0,0.1333333333333333,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0.10526315789473673,0.625,0.7153284671532848
0,1,0.0,0,0,1,1.0,0.5,0.3333333333333333,0.0,0.0,0,0,0,0,1,1,0,0,1.0,1.0,1.0,1.0,0.75,1.0,0.2666666666666666,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,0.21052631578947367,0.875,0.9562043795620438
1,1,0.0,1,1,0,0.25,0.5,0.6666666666666667,0.5,0.0,0,1,0,1,1,1,0,0,1.0,1.0,1.0,0.0,0.5,1.0,0.7333333333333333,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,0.26315789473684204,0.25,0.6496350364963503
0,1,0.2000000000000001,1,1,0,0.5,0.25,0.3333333333333333,0.0,0.0,0,0,0,1,0,1,0,0,0.5,0.5,0.25,0.0,0.5,0.5,0.1333333333333333,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0.631578947368421,0.25,0.45985401459854025
0,1,0.6000000000000001,0,0,0,1.0,0.75,0.3333333333333333,0.0,0.0,0,0,0,1,1,1,1,0,0.75,0.25,0.5,0.0,0.25,0.0,0.0,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,0.26315789473684204,0.125,0.2919708029197081
1,1,0.6000000000000001,1,1,0,1.0,1.0,0.6666666666666667,0.0,0.0,0,1,1,1,1,1,1,1,0.25,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,0.5263157894736841,0.0,0.47445255474452563
0,1,0.2000000000000001,1,1,0,1.0,0.75,0.3333333333333333,0.0,0.0,1,1,1,1,0,1,1,0,0.5,0.5,0.5,0.0,0.0,0.75,0.4,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,0.26315789473684204,0.0,0.4306569343065695
1,1,0.2000000000000001,0,0,0,0.5,0.25,0.3333333333333333,0.0,0.0,0,1,0,1,1,1,1,0,0.25,0.75,0.5,0.5,0.5,0.75,0.2666666666666666,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,0.1578947368421052,0.5,0.7007299270072993
0,1,0.4000000000000003,1,1,0,0.5,0.25,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0.75,0.75,0.25,0.5,0.75,1.0,0.0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0.4736842105263157,0.625,0.6569343065693432
0,1,0.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0,1,0,0,0,1,1,1,1.0,0.75,0.5,0.5,0.75,1.0,0.5333333333333333,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,0.3157894736842104,0.625,0.8905109489051095
1,1,0.6000000000000001,0,0,0,0.25,0.25,0.3333333333333333,0.0,0.0,0,0,0,0,0,1,1,1,0.5,0.5,0.25,0.0,0.25,0.5,0.1333333333333333,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,0.631578947368421,0.125,0.3868613138686132
1,1,0.2000000000000001,0,0,0,1.0,0.75,0.0,0.0,0.0,0,0,0,1,1,1,1,0,0.75,0.25,1.0,0.0,1.0,1.0,0.5333333333333333,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,0.5789473684210524,0.5,0.7445255474452556
0,1,0.6000000000000001,0,1,0,1.0,1.0,0.3333333333333333,0.0,0.0,0,0,0,1,1,1,1,0,0.5,0.25,0.75,0.0,0.75,0.5,0.4,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,0.42105263157894735,0.375,0.613138686131387
0,1,0.2000000000000001,0,0,0,0.5,0.5,0.3333333333333333,0.5,0.0,0,1,0,1,1,1,1,0,1.0,0.75,0.75,0.5,0.75,1.0,0.1333333333333333,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,0.26315789473684204,0.625,0.5693430656934308
0,1,0.0,0,1,1,0.5,0.5,0.0,1.0,0.0,0,1,0,0,1,1,1,1,0.75,1.0,0.25,0.0,0.0,0.5,0.0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,0.6842105263157894,0.0,0.036496350364963515
0,1,0.0,0,1,0,1.0,1.0,0.0,0.5,0.0,0,1,0,1,1,1,0,0,0.5,0.25,0.25,0.0,0.0,1.0,0.5333333333333333,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,0.7894736842105263,0.0,0.3065693430656935
1,1,0.4000000000000003,0,0,1,0.25,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,1,0.75,0.0,0.25,0.0,0.0,1.0,0.2666666666666666,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,0.368421052631579,0.0,0.2992700729927007
0,1,0.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0,1,0,1,1,1,1,0,0.75,0.5,0.5,0.0,0.5,1.0,0.0,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,0.5263157894736841,0.25,0.4014598540145986
0,1,0.0,0,1,0,0.5,0.75,0.0,1.0,0.0,1,0,0,0,0,1,1,0,1.0,0.5,0.25,0.0,0.25,1.0,0.1333333333333333,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,0.21052631578947367,0.125,0.0948905109489051
0,1,0.2000000000000001,0,1,0,0.5,0.75,0.3333333333333333,0.0,0.0,0,0,0,0,1,1,1,0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,0.5263157894736841,0.0,0.25547445255474455
0,1,0.6000000000000001,1,1,0,1.0,0.75,0.0,1.0,0.0,0,0,0,0,1,1,1,1,1.0,0.5,0.25,0.0,0.25,0.75,0.2666666666666666,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,0.7368421052631577,0.125,0.15328467153284672
1,1,0.4000000000000003,1,1,0,0.25,0.25,0.6666666666666667,0.0,0.0,0,0,0,0,0,0,0,0,0.75,0.25,0.5,1.0,0.75,0.75,0.2666666666666666,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,0.5263157894736841,0.875,0.8467153284671534
0,1,0.2000000000000001,0,0,0,1.0,0.5,0.0,0.5,0.0,0,0,0,1,1,1,1,0,0.75,1.0,0.0,0.0,0.5,1.0,0.0,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,0.5263157894736841,0.25,0.3284671532846716
0,1,0.6000000000000001,0,1,0,0.5,0.25,0.0,1.0,0.0,0,0,0,1,1,1,1,0,0.75,0.25,0.75,0.0,0.5,0.25,0.0,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,0.7368421052631577,0.25,0.07299270072992703
0,1,0.6000000000000001,0,0,0,0.5,0.5,0.0,0.5,0.0,0,1,0,1,0,0,1,0,0.75,0.75,0.75,0.0,0.5,0.5,0.7333333333333333,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,0.26315789473684204,0.25,0.6131386861313869
0,1,0.2000000000000001,0,0,0,1.0,0.75,0.0,0.5,0.0,0,1,0,1,1,1,1,0,1.0,0.75,0.25,0.0,0.25,1.0,0.4,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,0.4736842105263157,0.125,0.3941605839416059
1,1,0.0,1,0,0,1.0,0.25,0.0,0.5,0.0,0,1,0,1,1,1,1,0,1.0,0.5,0.75,0.0,0.25,0.25,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,0.5263157894736841,0.125,0.18248175182481755
0,1,0.4000000000000003,0,1,0,0.75,0.75,0.0,0.5,0.0,0,1,0,1,1,1,1,1,0.75,0.5,0.75,0.5,0.5,0.75,0.4,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,0.4736842105263157,0.5,0.5766423357664234
0,1,0.4000000000000003,0,0,0,1.0,1.0,0.0,0.5,0.0,0,1,0,1,1,1,1,0,0.75,0.75,0.75,0.0,0.5,1.0,0.0,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,0.26315789473684204,0.25,0.2919708029197081
0,1,0.0,0,1,0,1.0,1.0,0.3333333333333333,0.5,0.0,0,1,0,1,1,1,0,0,0.75,0.75,0.5,0.0,0.0,0.25,0.2666666666666666,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,0.8421052631578947,0.0,0.26277372262773724
0,1,0.6000000000000001,0,1,0,1.0,0.75,0.0,0.5,0.0,0,1,0,0,0,1,1,0,0.75,0.5,0.25,0.0,0.0,0.5,0.1333333333333333,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,0.26315789473684204,0.0,0.1678832116788321
0,1,0.0,0,0,0,0.25,0.5,0.0,0.5,0.0,1,1,0,1,1,1,1,0,0.75,0.5,0.25,0.0,0.0,1.0,0.0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,0.631578947368421,0.0,0.10948905109489052
0,1,0.2000000000000001,0,1,0,0.75,0.75,0.0,1.0,0.0,0,1,0,1,1,1,1,0,1.0,0.5,0.5,0.0,0.0,1.0,0.2666666666666666,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,0.631578947368421,0.0,0.0802919708029197
1,1,0.2000000000000001,1,1,0,0.75,1.0,0.6666666666666667,0.5,0.0,0,0,0,0,0,1,0,0,0.5,0.75,1.0,0.0,0.25,1.0,0.2666666666666666,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,0.21052631578947367,0.125,0.33576642335766427
1,1,0.0,1,1,0,0.25,0.25,1.0,0.5,0.0,0,1,0,1,1,1,0,1,1.0,0.75,1.0,0.5,0.75,0.75,0.5333333333333333,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0.05263157894736836,0.625,0.7445255474452556
0,1,0.0,0,1,0,1.0,0.5,0.0,0.5,0.0,0,1,0,0,1,1,0,0,0.75,0.5,0.5,0.5,0.25,1.0,0.2666666666666666,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,0.42105263157894735,0.375,0.44525547445255476
0,1,0.0,0,1,0,1.0,1.0,0.0,0.5,0.0,0,1,0,1,1,1,1,0,0.75,0.5,0.5,0.0,0.0,1.0,0.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,0.7368421052631577,0.0,0.10948905109489052
1,1,0.2000000000000001,0,1,1,0.25,0.5,0.0,1.0,0.0,1,0,0,0,1,1,1,0,0.75,0.75,0.5,0.0,0.0,1.0,0.0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,0.3157894736842104,0.0,0.0
0,1,0.4000000000000003,0,1,0,1.0,1.0,0.0,0.5,0.0,1,1,0,1,1,1,1,1,0.75,1.0,1.0,0.0,0.5,0.25,0.0,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,0.5789473684210524,0.25,0.3284671532846716
0,1,0.4000000000000003,0,0,0,0.5,0.75,0.0,0.5,0.0,0,1,0,0,0,1,1,0,1.0,0.5,0.5,0.0,0.5,0.5,0.0,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,0.3157894736842104,0.25,0.25547445255474455
0,1,0.2000000000000001,0,1,0,0.75,0.5,0.3333333333333333,1.0,0.0,0,0,0,1,1,1,1,1,1.0,0.5,0.5,0.0,0.5,0.25,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,0.4736842105263157,0.25,0.10948905109489052
0,1,0.0,0,1,1,0.75,1.0,0.0,0.5,0.0,0,1,0,1,1,1,1,0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,0.894736842105263,0.0,0.14598540145985403
1,1,0.6000000000000001,1,0,0,0.25,0.5,0.6666666666666667,0.0,0.0,0,1,0,1,1,0,1,1,0.75,0.5,0.5,0.5,0.5,0.5,0.2,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,0.21052631578947367,0.5,0.635036496350365
0,1,0.4000000000000003,0,0,0,1.0,0.75,0.3333333333333333,0.5,0.0,0,0,0,1,1,1,1,1,0.25,1.0,1.0,0.0,0.75,1.0,0.5333333333333333,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0.7894736842105263,0.375,0.635036496350365
0,1,0.6000000000000001,0,0,0,0.75,1.0,0.0,0.5,0.0,0,0,0,1,1,1,1,1,0.75,0.5,0.5,0.0,0.5,1.0,0.4,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,0.894736842105263,0.25,0.4306569343065695
1,1,0.6000000000000001,0,0,0,1.0,1.0,0.3333333333333333,1.0,0.0,0,0,0,0,1,1,1,1,0.75,0.25,0.25,0.5,0.25,1.0,0.0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,0.8421052631578947,0.375,0.14598540145985403
1,1,0.2000000000000001,0,0,0,0.5,0.5,1.0,1.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.5,0.5,0.25,0.5,0.0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,0.21052631578947367,0.375,0.10948905109489052
0,1,0.2000000000000001,0,1,0,1.0,1.0,0.0,0.0,0.0,0,1,0,1,1,1,1,0,0.5,0.75,0.75,0.0,0.75,1.0,0.2666666666666666,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0.5263157894736841,0.375,0.6277372262773724
0,1,0.2000000000000001,0,1,0,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0.75,0.5,0.25,0.5,0.75,1.0,0.0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,0.42105263157894735,0.625,0.6204379562043797
1,1,0.0,1,0,0,1.0,0.25,0.0,0.5,0.0,0,1,0,1,1,1,1,0,1.0,0.5,0.75,0.0,0.25,0.25,0.4666666666666667,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,0.05263157894736836,0.125,0.3868613138686132
1,1,0.2000000000000001,1,1,0,0.5,0.5,0.3333333333333333,0.0,0.0,0,1,0,1,1,1,1,1,1.0,0.75,0.5,0.5,0.75,0.75,0.4,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,0.0,0.625,0.8321167883211681
0,1,0.4000000000000003,1,0,0,0.25,0.25,1.0,0.5,0.0,0,0,0,1,1,0,0,1,1.0,0.5,1.0,0.0,1.0,1.0,0.0,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,0.05263157894736836,0.5,0.4014598540145986
0,1,0.4000000000000003,1,1,0,0.25,0.5,0.0,0.5,0.0,0,0,0,0,1,1,0,0,0.5,0.0,0.5,0.0,1.0,0.5,0.4,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,0.1578947368421052,0.5,0.5036496350364965
0,1,0.0,0,0,0,0.5,0.5,0.3333333333333333,0.5,0.0,0,0,1,1,1,1,1,0,1.0,0.5,0.5,0.0,0.5,0.75,0.1333333333333333,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,0.5263157894736841,0.25,0.3138686131386862
0,1,0.2000000000000001,0,1,0,1.0,1.0,0.0,0.5,0.0,0,1,0,1,1,1,1,0,1.0,0.75,0.75,0.0,0.25,1.0,0.4,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,0.7894736842105263,0.125,0.3941605839416059
1,1,0.0,0,1,0,0.5,0.5,0.6666666666666667,0.0,0.0,0,0,0,0,1,1,0,0,0.75,0.5,0.5,0.0,0.25,0.75,0.0666666666666666,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,0.5263157894736841,0.125,0.35766423357664234
1,1,0.2000000000000001,1,1,0,0.25,0.5,0.3333333333333333,0.5,0.0,0,0,0,0,1,1,0,0,0.75,0.5,0.5,0.0,0.0,1.0,0.0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,0.3157894736842104,0.0,0.10948905109489052
0,1,0.2000000000000001,0,1,0,0.5,0.5,0.0,0.5,0.0,0,0,0,0,1,0,1,0,0.75,0.5,1.0,0.5,0.75,0.75,0.0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,0.21052631578947367,0.625,0.47445255474452563
1,1,0.4000000000000003,0,0,0,0.75,0.25,0.3333333333333333,0.0,0.0,0,0,0,0,0,1,1,0,0.25,0.75,1.0,1.0,0.75,0.25,0.4,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,0.26315789473684204,0.875,0.978102189781022
