G1,G2,G3
16,17,17
10,9,10
10,13,12
14,14,14
7,5,0
7,7,9
11,12,11
10,13,13
16,15,15
13,11,11
10,8,11
11,12,11
10,11,11
18,18,18
13,13,14
8,8,0
6,5,6
11,11,11
7,8,8
9,10,0
13,13,14
10,8,8
14,15,15
9,10,10
10,9,9
6,9,8
8,9,8
10,11,11
9,10,10
9,8,10
9,9,10
15,15,15
8,9,10
16,15,15
14,14,14
10,11,11
7,6,6
12,10,11
11,11,12
16,15,17
14,15,15
10,9,11
6,6,4
8,8,10
7,8,10
10,10,10
7,7,8
10,9,9
9,10,10
11,12,13
13,13,11
18,18,19
16,16,16
12,10,12
13,13,13
11,13,13
12,12,12
10,9,0
16,15,15
10,9,8
10,10,10
12,14,15
10,8,9
15,16,16
15,13,13
15,14,15
12,12,13
6,10,10
10,10,10
6,6,6
11,10,10
13,13,14
17,17,18
16,16,17
8,10,10
8,7,8
7,0,0
12,10,10
10,9,0
5,6,6
13,13,13
9,10,9
4,0,0
13,13,13
7,8,9
8,7,6
9,8,8
5,5,5
14,12,13
8,10,11
18,16,16
9,9,0
6,7,0
11,11,11
7,8,0
16,17,18
9,9,10
13,15,15
7,9,8
18,18,18
15,14,15
8,8,8
7,9,8
10,10,10
15,15,15
11,9,9
14,12,11
11,10,10
14,15,16
7,7,6
10,12,12
7,7,8
8,8,9
8,7,0
12,13,13
16,15,15
8,7,9
14,14,14
8,7,6
10,13,13
7,9,8
15,14,14
10,10,9
9,11,11
10,9,9
12,12,12
16,15,15
7,6,0
7,10,11
7,6,6
8,10,10
7,10,10
14,13,13
6,5,6
12,14,14
7,10,10
7,6,6
12,13,12
12,13,13
14,15,16
11,11,10
8,9,10
6,0,0
8,6,5
13,11,11
6,5,5
5,5,6
11,14,14
15,12,14
9,9,9
14,12,12
9,9,10
10,10,11
9,8,7
9,9,8
8,11,11
13,11,11
6,5,0
7,7,7
11,11,10
16,16,15
12,13,14
12,12,11
14,15,15
9,8,0
11,12,13
