G1,G2,G3
12,12,13
13,12,12
16,15,16
9,10,9
13,13,12
15,15,15
10,13,13
11,13,14
10,10,11
10,9,9
10,0,0
8,8,10
15,15,16
15,15,15
17,18,18
12,12,11
16,18,19
11,9,9
7,7,5
9,0,0
16,14,15
9,9,9
11,11,10
8,8,11
11,10,10
9,9,10
7,7,0
9,9,10
3,5,5
15,16,18
14,13,14
17,15,15
13,13,13
15,15,16
12,13,13
15,13,15
14,16,16
19,19,20
12,13,12
14,14,14
13,13,12
7,0,0
11,11,11
12,11,12
12,10,11
12,15,15
6,0,0
15,14,14
15,15,15
8,7,8
9,9,9
5,0,0
11,12,11
18,18,18
11,13,14
12,11,12
15,15,14
11,10,11
8,8,8
11,9,10
19,18,18
15,16,15
10,9,10
5,9,7
10,12,12
5,8,7
10,12,12
9,7,6
10,10,10
16,12,13
6,5,5
15,12,12
16,17,17
9,8,8
10,11,10
10,10,10
14,11,13
6,5,0
13,15,15
8,6,7
15,14,14
15,14,14
13,13,12
10,8,7
7,10,10
14,15,15
12,12,13
18,19,19
10,10,11
13,15,15
13,13,13
13,12,12
16,18,18
7,6,0
10,10,10
6,5,5
10,8,9
6,5,6
10,10,10
16,15,16
8,7,8
13,11,10
8,10,10
12,12,11
14,13,13
14,15,16
7,9,8
9,11,12
8,9,10
16,15,15
8,8,8
8,9,8
13,11,11
7,4,0
9,9,9
6,6,8
16,18,18
14,16,16
9,7,8
10,13,14
13,15,16
12,14,15
13,14,13
9,8,8
11,12,10
8,9,8
11,11,10
9,12,11
14,12,12
12,12,11
18,19,19
14,12,11
8,12,12
11,11,10
17,15,16
8,9,10
14,13,13
6,5,0
12,13,14
13,12,12
8,9,9
8,10,12
7,6,0
6,7,8
15,16,15
10,8,9
6,5,0
13,14,14
