G1,G2,G3
10,10,11
9,10,9
16,14,16
15,14,15
12,12,15
8,10,11
14,14,14
11,11,12
10,11,11
10,11,10
14,14,14
15,15,15
13,12,13
12,13,13
12,12,12
13,13,13
14,15,16
11,11,11
8,8,8
14,13,13
11,10,11
11,12,12
14,13,13
11,12,14
8,9,9
12,12,12
15,12,13
16,15,15
10,13,13
15,13,14
12,10,11
12,13,13
9,11,11
14,14,16
9,9,10
14,13,13
10,11,12
14,15,17
6,8,9
15,16,17
11,11,11
11,11,12
12,11,12
10,9,10
16,17,17
7,9,10
11,11,13
11,10,11
10,10,11
13,14,14
11,12,14
11,12,14
17,17,18
15,15,15
14,14,14
12,11,11
12,13,14
13,17,17
15,15,16
11,11,10
15,16,16
14,14,15
11,12,14
12,11,12
7,9,8
10,12,12
13,14,14
13,12,14
12,13,14
11,10,11
13,14,14
11,10,11
12,13,14
13,14,15
14,17,17
11,15,15
14,17,15
13,12,13
11,12,13
14,15,15
10,10,10
11,11,11
12,11,12
16,15,16
11,11,11
12,12,15
10,11,12
13,13,14
12,12,12
9,10,11
13,14,14
10,10,10
13,12,12
14,15,15
14,13,13
16,16,16
11,12,14
12,16,16
9,11,11
10,11,11
9,10,10
7,6,7
11,11,10
15,15,16
13,11,11
13,13,13
15,14,17
10,8,8
9,8,10
7,7,8
10,11,12
6,9,11
11,13,12
13,12,12
13,12,13
10,13,13
10,11,12
12,11,11
14,17,17
15,15,15
10,10,11
11,9,10
16,16,16
10,11,11
13,14,14
12,9,10
15,17,17
11,11,11
12,12,13
11,9,11
11,10,10
12,13,13
12,13,14
14,14,15
12,13,12
8,9,10
8,10,10
10,10,10
16,15,16
11,11,11
8,8,8
14,14,15
14,13,13
9,10,9
14,13,14
14,13,12
14,14,14
12,12,12
9,10,10
12,13,14
14,14,16
10,9,10
12,13,13
15,15,17
11,13,13
14,13,14
11,13,13
13,13,13
11,12,13
13,13,14
12,13,12
10,11,12
11,10,10
12,11,11
10,11,12
11,10,11
9,10,11
13,12,12
8,8,10
17,17,17
12,15,15
14,11,12
11,11,12
10,9,10
12,13,13
14,15,15
13,15,15
11,10,11
12,11,11
13,13,14
11,12,12
9,9,10
13,13,13
12,12,14
13,12,12
12,13,15
14,13,13
8,9,9
14,13,13
11,12,13
6,8,8
10,10,10
6,8,7
12,12,12
10,11,10
13,12,12
15,14,14
10,11,11
15,14,15
14,17,17
16,16,17
10,11,12
14,16,17
12,11,11
14,12,13
14,15,16
7,10,10
12,13,12
11,12,11
15,15,15
11,12,13
14,15,17
12,13,13
12,12,13
14,12,12
11,12,12
14,14,14
11,12,13
11,12,9
13,12,12
14,16,16
16,16,17
15,14,15
10,11,12
14,14,15
