school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,Gvg,Avgalc,Bum
0,0,18,0,0,0,4,3,4,4,0,2,2,2,0,0,1,1,0,1,1,1,1,4,4,5,1,2,2,10,9.0,1.5,25.0
0,0,17,0,0,0,3,2,4,4,1,0,2,2,0,0,0,1,0,1,1,1,0,4,4,4,1,3,1,2,14.5,2.0,14.0
0,0,17,1,1,1,3,2,4,4,0,0,1,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,2,4,9.5,2.5,17.0
0,0,16,0,1,0,4,3,0,1,0,0,1,3,0,1,1,1,1,1,1,1,0,3,4,4,2,4,4,2,9.5,3.0,15.0
0,0,16,0,1,0,2,2,2,2,0,0,1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,5,14,7.5,2.0,35.0
0,0,15,1,0,0,2,2,1,2,1,0,2,2,0,1,1,1,0,1,1,1,0,4,1,3,1,3,4,2,8.5,2.0,11.0
0,0,16,1,1,0,4,4,1,0,3,0,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,6,10.5,2.5,21.0
0,0,15,0,1,0,1,1,4,4,0,1,1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2,9.5,2.5,14.0
0,0,18,1,1,0,1,1,3,4,2,0,3,1,3,0,1,0,1,0,1,0,0,5,2,5,1,5,4,6,8.5,3.0,27.0
0,0,17,0,1,0,1,1,4,4,2,0,1,2,0,0,1,1,0,0,1,0,0,4,4,4,1,3,1,4,9.0,2.0,17.0
0,0,17,0,1,0,4,3,1,2,1,0,1,3,0,0,1,1,0,1,1,1,0,4,2,2,1,2,3,0,15.0,1.5,7.0
0,0,16,0,1,0,2,1,4,4,2,0,1,2,0,0,1,1,0,1,1,0,1,4,3,5,1,1,5,2,8.5,1.0,11.0
0,0,17,0,1,0,3,2,4,4,2,0,1,2,0,0,0,0,1,0,1,1,0,5,3,4,1,3,3,10,15.5,2.0,25.0
0,0,17,0,1,0,4,4,0,0,2,0,2,3,0,0,1,1,0,0,1,1,1,4,3,3,1,2,4,4,14.0,1.5,14.0
0,0,15,0,1,0,1,2,3,4,2,0,1,2,0,0,1,1,0,0,1,1,0,4,3,2,1,1,5,2,10.5,1.0,11.0
0,0,15,0,0,0,3,2,2,4,1,0,1,2,0,0,1,1,0,1,1,1,0,4,4,4,1,1,5,10,6.5,1.0,24.0
0,0,18,1,1,0,4,4,0,4,1,0,2,2,0,0,0,1,1,1,1,1,0,4,3,4,2,2,4,8,11.0,2.0,22.0
0,0,17,0,1,0,4,4,4,0,2,0,1,1,0,1,1,0,0,1,1,0,1,4,2,1,1,1,4,0,11.0,1.0,8.0
0,0,18,0,0,0,3,3,2,2,0,0,1,4,0,0,1,0,0,1,1,1,0,5,3,3,1,1,1,7,15.5,1.0,16.5
0,0,15,0,1,1,4,3,2,2,1,0,1,2,0,0,1,1,1,1,1,1,0,4,3,2,1,1,1,0,14.5,1.0,8.0
0,0,17,0,1,0,2,2,4,4,2,0,1,2,0,0,1,0,0,0,1,1,0,5,4,5,1,2,5,4,9.5,1.5,16.0
0,0,17,0,1,0,4,3,4,4,1,0,1,2,2,0,0,1,0,1,1,1,1,3,4,5,2,4,1,22,6.0,3.0,50.0
1,0,18,1,1,0,1,1,4,4,0,0,4,3,0,0,0,0,0,1,1,1,0,4,3,2,1,2,4,2,8.0,1.5,11.0
0,0,15,0,0,0,1,1,3,4,3,0,1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,3,10,7.5,2.5,32.0
0,0,15,1,1,0,3,3,2,2,1,2,2,3,2,0,1,1,1,1,1,1,1,4,2,1,2,3,3,8,10.0,2.5,25.0
0,0,16,0,1,0,3,3,4,4,0,0,1,3,0,0,1,1,0,1,1,1,1,4,3,3,1,3,4,0,7.0,2.0,9.0
0,0,17,0,1,0,3,3,4,4,0,0,1,3,0,0,0,0,1,0,1,0,0,3,2,3,1,1,4,4,9.5,1.0,12.0
0,0,17,0,1,0,2,2,3,3,2,0,1,3,0,0,1,1,1,1,1,1,0,4,3,3,1,1,4,4,9.5,1.0,13.0
0,0,16,0,1,0,2,3,2,2,2,0,1,2,0,0,0,0,0,1,1,1,0,4,3,3,1,1,2,10,11.5,1.0,23.0
0,0,16,0,1,0,2,2,2,4,1,0,2,2,0,0,0,1,1,0,1,1,0,3,4,4,1,4,5,2,13.0,2.5,15.0
0,0,18,0,1,0,2,2,3,3,3,0,1,3,0,0,1,1,0,1,1,1,0,4,3,3,1,2,2,5,18.0,1.5,15.5
0,0,15,1,0,0,3,1,4,4,1,1,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,12,16.0,2.5,28.0
0,0,17,0,1,1,2,1,4,4,2,0,2,3,0,0,0,0,1,1,1,1,1,3,2,3,1,2,3,10,11.0,1.5,22.0
0,0,16,0,0,0,2,4,4,1,2,1,2,2,0,0,1,1,1,1,1,1,1,4,2,2,1,2,5,2,13.0,1.5,11.0
0,0,15,0,0,0,4,2,1,4,3,0,1,2,0,0,1,1,0,1,1,1,0,4,3,3,1,1,5,2,12.0,1.0,11.0
0,0,18,1,0,0,1,1,3,4,1,0,2,4,0,0,1,1,1,1,1,0,0,5,2,2,1,1,3,1,12.0,1.0,6.5
0,0,19,0,1,0,4,4,1,4,1,2,2,2,0,0,1,1,1,1,1,1,0,2,3,4,2,3,2,0,9.5,2.5,11.0
0,0,16,0,0,0,4,3,0,2,2,0,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,15.5,1.5,13.0
0,0,15,1,1,0,2,4,2,1,2,0,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,9.5,1.0,10.0
1,0,17,1,1,0,3,1,3,4,1,0,1,2,0,0,1,1,1,0,1,1,0,4,5,4,2,3,1,17,10.0,2.5,38.5
0,0,17,0,1,0,3,1,2,2,2,1,1,3,0,0,1,0,0,0,1,1,0,3,4,3,2,3,5,1,13.0,2.5,12.5
0,0,15,0,1,0,4,4,0,1,1,0,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,9.0,1.5,9.0
0,0,16,0,1,0,4,2,2,4,2,0,1,2,0,0,1,0,0,1,1,1,0,4,2,3,1,1,5,2,15.5,1.0,10.0
0,0,19,0,1,0,1,1,3,1,0,2,1,3,2,0,0,0,0,0,1,1,1,4,1,2,1,1,3,14,14.0,1.0,30.0
1,0,20,0,1,0,4,2,1,4,2,2,2,3,2,0,1,1,0,0,1,1,1,5,4,3,1,1,3,4,14.5,1.0,18.0
0,0,18,0,0,0,2,1,2,3,1,0,1,2,1,0,0,0,0,1,1,1,1,5,4,3,1,1,5,12,12.0,1.0,29.0
0,0,16,0,1,0,3,3,4,4,0,1,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4,8.0,1.5,15.0
0,0,15,0,0,0,4,3,2,2,1,1,1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,4,2,0,10.0,3.0,13.0
0,0,17,1,1,0,2,1,3,2,1,0,2,2,0,0,1,0,1,1,1,1,0,4,2,5,1,2,5,2,6.0,1.5,11.0
1,0,18,0,1,0,2,3,3,2,2,1,2,1,0,0,1,1,0,1,1,1,1,5,2,3,1,2,4,0,10.5,1.5,9.0
0,0,17,0,0,0,4,3,1,4,1,1,1,2,0,0,0,0,1,1,1,1,1,3,2,3,1,2,3,14,13.0,1.5,29.0
0,0,17,0,1,0,3,2,1,1,1,1,1,4,0,0,1,1,1,0,1,1,0,5,2,2,1,2,5,0,17.0,1.5,6.0
0,0,16,0,1,0,2,3,2,0,3,0,1,2,0,1,0,0,0,1,1,1,0,2,3,1,1,1,3,2,16.0,1.0,11.0
0,0,16,0,1,0,3,3,4,4,1,0,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4,9.0,1.0,14.0
0,0,16,0,1,0,2,2,4,4,0,0,1,2,0,0,0,1,0,1,1,1,1,5,4,4,1,1,5,0,7.5,1.0,9.0
0,0,18,0,1,0,2,1,4,4,2,2,2,3,0,0,1,1,0,0,1,1,1,4,4,4,1,1,3,0,3.5,1.0,8.0
0,0,19,0,0,0,1,1,3,4,1,2,1,2,1,1,1,0,1,0,1,1,0,4,4,3,1,3,3,18,11.0,2.0,40.0
0,0,18,1,1,0,2,2,3,4,2,0,2,4,0,0,0,0,1,1,1,0,0,4,4,4,1,1,4,0,9.5,1.0,7.0
0,0,18,0,1,1,4,4,3,0,2,0,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,6,5.5,1.0,17.0
1,0,18,1,0,1,1,4,3,4,2,0,3,2,0,0,0,0,0,1,1,0,1,4,3,4,1,4,5,0,13.0,2.5,11.0
0,0,18,0,1,0,4,3,4,4,2,0,1,3,0,0,1,1,1,1,1,1,1,4,3,4,1,1,5,9,9.5,1.0,20.5
0,0,16,0,1,1,3,3,4,4,2,2,2,1,2,0,1,0,1,0,1,1,1,4,3,2,1,1,5,0,2.0,1.0,13.0
0,0,17,0,1,1,4,3,2,2,2,0,1,2,0,0,1,1,0,1,1,1,1,5,2,2,1,2,5,23,13.0,1.5,42.5
0,0,19,0,1,0,0,1,3,4,2,2,1,2,3,0,1,0,0,0,0,0,0,3,4,2,1,1,5,2,7.5,1.0,18.0
0,0,16,0,0,0,2,2,3,4,2,0,1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,2,4,7.5,1.5,15.0
0,0,18,0,1,0,4,4,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,2,4,4,1,1,4,15,8.5,1.0,33.5
0,0,16,0,1,0,3,4,3,4,2,0,1,2,0,0,1,0,0,1,1,1,0,2,4,3,1,2,3,12,5.0,1.5,28.0
0,0,17,0,0,0,4,2,0,2,1,0,1,4,0,0,1,1,1,1,1,1,0,4,2,3,1,1,4,6,13.0,1.0,14.0
0,0,15,0,1,0,4,4,2,2,2,0,1,1,0,1,1,1,0,1,1,1,0,3,3,4,2,3,5,0,9.0,2.5,12.0
1,0,18,0,0,0,1,1,3,2,2,1,2,3,0,0,0,0,0,1,1,1,0,5,3,2,1,1,4,0,17.0,1.0,7.0
0,0,19,0,0,0,1,2,2,2,0,2,1,2,1,0,0,0,1,0,1,0,1,4,2,4,2,2,3,0,9.0,2.0,11.0
0,0,16,0,1,0,2,2,4,4,0,0,1,2,0,0,1,1,0,0,1,1,0,5,1,5,1,1,4,0,6.5,1.0,6.0
0,0,16,0,1,0,2,2,4,4,1,0,1,4,0,0,0,1,0,1,1,1,1,5,2,3,1,3,3,0,11.0,2.0,7.0
0,0,17,0,1,0,3,2,4,4,0,0,1,2,0,0,1,1,0,1,1,1,1,4,3,2,2,3,2,0,7.5,2.5,11.0
0,0,15,0,1,0,4,3,2,4,1,0,1,1,0,0,0,1,1,1,1,1,0,4,5,5,1,3,1,4,16.5,2.0,19.0
0,0,16,0,0,0,4,4,0,0,1,0,1,2,0,0,1,1,0,1,1,1,0,4,5,2,1,2,3,0,9.0,1.5,11.0
0,0,17,0,1,0,4,3,1,4,1,0,1,3,0,0,1,1,1,1,1,1,1,4,4,3,1,3,4,0,14.0,2.0,10.0
0,0,15,0,1,0,4,4,2,2,1,1,2,2,2,0,0,1,0,1,1,1,1,4,4,4,2,3,5,6,8.0,2.5,25.0
0,0,17,1,0,0,3,1,2,4,1,0,2,4,0,0,1,1,0,1,1,0,0,3,1,2,1,1,3,6,18.0,1.0,13.0
0,0,15,0,1,0,4,2,1,2,0,0,1,3,0,0,1,1,1,1,1,1,1,3,2,2,1,1,5,2,14.5,1.0,9.0
0,0,19,0,1,0,3,3,4,4,1,2,1,4,0,0,1,1,1,1,1,1,0,4,3,3,1,2,3,10,8.0,1.5,22.0
0,0,16,0,1,0,4,3,4,3,2,0,1,3,0,1,1,1,0,1,1,1,0,5,3,5,1,1,3,0,8.0,1.0,7.0
0,0,17,0,1,0,2,4,3,1,1,0,2,2,0,0,1,1,0,1,1,1,1,4,3,3,1,1,1,2,10.0,1.0,11.0
1,0,18,0,1,0,3,3,4,4,0,0,1,2,0,0,0,1,0,1,1,1,1,4,1,3,1,2,1,0,15.0,1.5,7.0
0,0,17,0,1,0,2,2,4,4,2,0,1,2,0,0,1,0,0,1,1,0,1,4,2,2,1,1,3,12,10.0,1.0,25.0
1,0,18,1,1,0,4,4,4,0,3,1,3,2,0,0,1,1,0,0,1,1,1,3,2,2,4,2,5,10,13.0,3.0,26.0
0,0,16,0,1,0,4,2,0,2,0,0,2,2,0,0,1,1,1,1,1,1,0,5,3,3,1,1,1,0,10.5,1.0,8.0
0,0,16,0,1,0,4,2,1,2,0,1,1,2,0,0,0,1,0,1,1,1,1,4,2,3,1,1,3,0,14.5,1.0,7.0
0,0,16,0,1,0,3,1,2,4,2,0,1,4,0,1,1,1,0,1,1,1,0,4,3,3,1,2,5,4,7.0,1.5,13.0
0,0,15,0,1,0,2,1,2,4,1,1,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,11.0,1.0,12.0
0,0,17,0,1,0,2,3,3,4,0,1,2,1,0,0,1,1,0,1,1,0,0,3,3,3,1,4,3,3,7.0,2.5,16.5
0,0,17,0,1,0,1,1,3,2,2,0,1,2,0,0,0,0,1,1,1,1,0,5,3,3,1,1,3,0,8.0,1.0,8.0
