school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,Gvg,Avgalc,Bum
1,0,17,1,0,1,3,1,4,3,2,2,2,3,0,0,1,1,0,1,0,0,0,4,2,3,2,2,3,5,7.5,2.0,15.5
0,0,17,0,0,1,2,2,4,4,0,0,1,1,1,0,1,0,0,0,0,1,0,3,1,2,1,1,1,8,10.0,1.0,21.0
0,0,18,0,0,1,2,4,2,4,2,0,2,2,1,0,1,0,0,1,1,1,0,4,3,3,1,1,3,18,10.0,1.0,37.0
1,0,15,1,1,0,1,2,4,2,2,0,2,1,0,0,0,0,0,1,1,0,0,5,1,2,1,1,1,3,12.0,1.0,11.5
0,0,18,1,1,0,2,2,4,4,0,0,1,2,0,1,0,0,0,1,1,0,0,3,2,3,1,1,5,4,11.0,1.0,13.0
1,0,15,1,1,0,1,1,3,2,3,0,1,1,1,0,1,0,0,1,1,0,1,4,1,3,1,1,2,6,10.0,1.0,18.0
1,0,15,1,0,0,1,1,4,2,2,0,2,1,1,0,1,0,0,1,1,1,1,4,4,3,1,2,2,4,6.5,1.5,19.0
1,0,17,0,1,0,4,3,0,4,3,0,2,2,0,0,0,0,0,1,1,1,0,5,5,4,1,1,1,0,7.5,1.0,10.0
0,0,17,0,1,0,4,4,0,2,2,0,1,3,0,0,1,0,1,1,1,1,0,5,4,4,1,3,4,0,12.5,2.0,10.0
0,0,17,0,1,0,3,1,4,3,0,0,1,1,1,0,1,1,0,1,1,1,1,4,1,2,1,1,3,6,11.5,1.0,18.0
1,0,18,1,0,0,2,2,2,2,2,0,1,2,1,0,1,0,1,1,1,1,0,2,3,3,1,2,4,3,6.5,1.5,15.5
0,0,18,0,1,0,4,4,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,2,4,4,1,1,4,2,13.0,1.0,14.0
1,0,17,1,1,0,2,2,3,4,2,0,2,2,0,0,1,0,0,1,1,1,0,4,3,5,1,2,4,0,10.5,1.5,9.0
0,0,17,0,1,0,4,3,4,4,1,0,1,2,0,0,0,0,0,1,1,1,1,3,4,5,2,4,1,16,10.0,3.0,37.0
0,0,18,0,0,1,4,4,1,4,0,0,1,2,0,0,1,1,0,1,1,1,1,4,2,4,1,1,4,0,14.5,1.0,7.0
0,0,17,1,1,0,3,4,3,2,2,1,1,3,0,0,1,0,1,0,1,1,0,4,3,4,2,5,5,2,15.0,3.5,15.0
1,0,16,0,1,0,2,2,2,4,2,0,1,1,0,0,1,1,1,1,1,0,1,4,2,5,1,2,5,0,16.5,1.5,9.0
0,0,18,0,0,0,1,1,4,4,0,0,2,2,0,0,1,0,0,0,1,0,0,4,4,3,1,1,3,2,13.0,1.0,12.0
1,0,19,0,0,0,2,2,4,4,0,0,1,3,0,0,0,0,0,1,1,1,1,5,4,5,1,1,1,0,12.5,1.0,8.0
0,0,15,1,0,0,3,1,4,4,1,1,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,6,15.0,2.5,19.0
1,0,16,0,1,0,3,1,4,4,2,0,1,1,0,0,0,0,1,1,1,1,0,3,1,3,1,3,1,0,7.0,2.0,9.0
0,0,18,0,1,0,2,2,3,4,2,0,4,2,0,0,0,0,1,1,1,0,1,4,2,5,1,1,2,2,9.5,1.0,10.0
1,0,19,1,1,1,1,1,3,3,2,2,2,2,3,0,1,0,1,1,0,0,1,3,5,4,1,4,1,0,4.0,2.5,19.0
1,0,17,0,1,0,2,2,4,3,2,0,1,1,0,0,1,0,1,1,0,0,0,4,5,3,1,1,5,4,9.0,1.0,17.0
0,0,16,0,1,0,2,2,3,4,0,0,1,2,1,1,0,0,1,1,1,1,0,3,1,2,1,1,5,12,9.0,1.0,26.0
0,0,16,0,1,1,3,1,2,4,2,0,1,2,0,0,1,0,0,1,1,1,0,2,3,3,2,2,4,2,11.0,2.0,13.0
0,0,20,1,1,0,2,1,4,4,2,2,2,2,0,0,1,1,1,1,0,1,1,1,2,3,1,2,2,8,11.0,1.5,20.0
0,0,15,0,1,0,4,4,0,1,1,0,1,2,0,0,1,0,0,1,1,1,0,3,3,3,1,2,2,2,14.0,1.5,12.0
1,0,17,0,0,1,3,2,2,4,1,0,2,2,0,0,0,0,0,1,1,0,1,1,2,3,1,2,5,0,14.5,1.5,8.0
1,0,17,0,1,0,4,1,1,3,2,0,1,1,0,0,1,0,0,1,1,0,1,3,2,2,1,1,5,0,9.0,1.0,8.0
0,0,16,0,1,0,3,3,4,4,1,0,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,2,13.5,1.0,11.0
0,0,18,0,0,0,4,3,4,4,0,2,2,2,0,0,1,0,0,1,1,1,1,4,4,5,1,2,2,0,13.5,1.5,10.0
0,0,17,0,1,0,4,4,2,0,0,0,2,1,1,0,1,0,0,1,1,1,0,4,2,4,2,3,2,30,14.5,2.5,58.0
0,0,16,0,0,0,1,1,3,3,2,0,1,1,0,0,0,0,0,1,1,1,0,3,4,4,3,3,1,4,10.5,3.0,20.0
