school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,Gvg,Avgalc,Bum
0,1,17,1,1,0,2,2,4,2,3,0,2,1,0,0,0,0,0,0,0,0,0,5,2,2,1,1,4,0,9.5,1.0,8.0
0,1,16,0,1,0,1,0,4,4,1,0,2,2,0,0,1,0,1,1,1,1,1,4,3,2,1,1,3,0,16.5,1.0,8.0
0,1,17,0,0,1,4,4,1,4,1,0,1,3,0,0,1,0,0,1,1,1,0,4,4,2,1,2,4,2,13.5,1.5,12.0
1,1,17,1,0,0,1,3,4,4,2,1,2,1,0,0,0,0,1,1,1,0,1,5,1,2,3,3,5,2,11.5,3.0,14.0
0,1,17,0,1,0,3,1,2,4,3,0,1,2,0,0,0,0,1,1,1,1,1,5,4,4,3,4,5,0,11.0,3.5,14.0
0,1,16,0,0,0,1,1,2,4,2,0,1,2,2,0,0,0,0,1,1,0,1,4,4,4,1,3,5,0,10.0,2.0,15.0
0,1,15,0,0,1,3,2,2,4,0,0,1,2,0,0,1,0,0,1,1,1,0,4,2,2,1,1,1,0,15.5,1.0,7.0
0,1,18,0,0,0,1,1,4,4,2,0,1,1,2,0,0,0,0,1,0,1,1,2,3,5,2,5,4,0,10.0,3.5,18.0
1,1,18,0,1,0,4,4,0,0,0,1,1,2,0,0,0,0,1,0,1,1,0,3,2,4,1,4,2,4,17.5,2.5,16.0
1,1,15,0,1,0,2,2,1,4,1,0,3,1,0,0,0,0,0,1,1,0,0,4,3,3,1,2,4,1,12.5,1.5,11.5
0,1,16,1,1,0,2,1,4,4,2,0,2,1,0,0,0,0,1,0,1,0,0,3,3,2,1,3,3,2,13.5,2.0,14.0
1,1,18,1,1,0,3,2,2,4,2,0,1,1,1,0,0,0,0,1,0,1,0,2,3,1,2,2,5,0,2.0,2.0,13.0
1,1,15,1,1,0,1,1,4,4,2,0,4,2,0,0,1,0,1,1,1,0,1,5,4,5,2,4,4,8,8.0,3.0,25.0
1,1,16,0,0,0,2,1,3,2,2,0,2,1,0,0,1,0,1,1,1,1,0,2,4,3,2,3,4,4,9.0,2.5,19.0
0,1,16,0,1,0,4,4,0,0,2,0,1,1,0,0,1,0,0,1,0,1,1,3,3,2,2,1,5,16,9.0,1.5,34.0
0,1,19,0,0,1,4,3,2,3,1,0,1,2,0,0,1,0,0,1,1,1,0,4,3,1,1,1,1,4,12.0,1.0,14.0
0,1,15,0,0,1,4,2,1,1,3,1,2,1,0,0,0,0,0,1,1,0,0,5,5,5,3,4,5,4,9.5,3.5,22.0
1,1,15,1,0,0,1,3,3,4,1,1,3,1,0,0,1,0,1,1,1,1,0,4,2,4,3,5,3,2,10.5,4.0,17.0
0,1,21,1,0,0,1,1,3,4,2,2,2,2,2,0,1,0,1,1,0,1,1,5,3,3,5,2,4,21,9.5,3.5,48.5
0,1,17,0,0,0,2,2,4,4,0,1,1,2,0,0,0,0,1,0,1,1,1,4,4,2,5,5,4,0,16.0,5.0,17.0
1,1,15,0,0,1,2,1,2,2,2,0,1,1,0,0,0,0,1,1,1,1,0,4,3,3,1,2,5,11,12.5,1.5,26.5
0,1,15,0,1,0,4,3,0,4,2,0,2,2,0,0,1,0,0,1,1,1,0,5,4,3,1,2,3,0,12.0,1.5,10.0
0,1,15,0,1,0,4,4,4,0,1,1,2,2,0,0,1,0,1,1,1,0,0,4,4,3,1,1,2,4,15.5,1.0,15.0
0,1,18,0,1,0,4,3,0,4,2,0,1,2,0,0,1,0,0,0,1,1,0,4,3,2,1,1,3,2,10.0,1.0,11.0
0,1,19,1,1,0,3,3,4,2,1,1,1,2,0,0,0,0,1,1,1,0,1,4,5,3,1,2,5,0,10.0,1.5,11.0
0,1,17,1,1,0,2,1,4,4,2,0,1,1,0,0,0,0,0,0,1,1,0,4,4,2,2,4,5,0,12.0,3.0,14.0
0,1,16,0,1,0,2,1,3,4,2,0,4,1,0,0,0,0,0,1,1,0,0,3,2,1,1,1,2,4,9.0,1.0,14.0
1,1,18,0,0,0,1,2,3,2,0,0,2,1,0,0,1,0,0,0,1,0,0,4,1,4,5,5,1,8,10.5,5.0,27.0
0,1,17,1,1,0,3,2,4,4,2,0,2,2,2,1,1,0,0,1,1,1,1,4,4,4,1,4,3,4,6.5,2.5,22.0
1,1,18,1,1,0,1,0,3,3,2,2,3,1,1,1,1,0,0,1,1,0,0,4,3,2,1,1,4,0,12.0,1.0,11.0
0,1,17,0,0,0,4,4,4,0,0,1,2,1,0,0,0,0,0,1,1,1,0,4,1,1,2,2,5,0,12.5,2.0,9.0
0,1,15,0,0,0,1,2,4,3,0,1,1,2,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,0,13.5,1.0,8.0
0,1,16,0,0,0,2,2,4,4,1,0,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,2,10.0,3.0,16.0
0,1,16,0,1,0,3,1,4,4,1,0,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,0,13.0,2.0,11.0
0,1,15,0,1,0,4,2,0,4,0,0,1,2,0,0,1,0,0,1,1,0,0,4,3,3,2,2,5,4,11.5,2.0,16.0
0,1,16,0,1,0,2,2,2,4,1,1,2,2,0,0,0,0,1,0,1,1,0,4,4,2,1,1,3,6,11.0,1.0,18.0
0,1,16,0,1,0,0,2,4,4,3,0,1,1,0,0,0,0,0,0,1,1,0,4,3,2,2,4,5,0,11.5,3.0,13.0
0,1,16,1,0,0,3,3,0,4,0,1,3,1,0,0,1,0,1,1,1,1,0,3,3,4,3,5,3,16,10.5,4.0,39.0
0,1,16,0,0,0,4,3,0,4,2,0,1,1,0,0,0,0,1,0,1,1,0,5,4,5,1,1,3,7,14.0,1.0,20.5
0,1,15,0,0,0,4,3,0,2,0,0,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,0,14.0,1.0,8.0
