G1,G2,G3
8,10,10
13,11,11
10,9,8
7,10,11
16,15,16
10,9,9
11,9,9
8,9,10
13,11,11
10,10,10
14,12,11
13,13,13
9,8,8
14,13,13
15,14,15
9,10,10
16,16,15
7,6,0
17,17,18
15,16,18
13,12,12
12,12,13
9,8,7
10,9,9
15,16,16
7,10,10
7,7,9
6,7,0
12,12,11
10,9,11
11,9,9
10,8,9
9,9,10
7,6,6
11,10,11
7,7,8
9,7,6
16,15,15
8,8,8
10,8,8
9,12,11
8,6,7
18,18,18
10,11,11
16,15,17
7,6,6
16,16,16
14,11,13
11,15,15
14,14,13
16,15,16
8,9,10
12,13,13
8,9,8
13,13,12
15,16,15
5,0,0
13,13,13
7,7,6
14,13,13
13,11,11
10,10,10
13,10,11
6,5,0
13,13,12
6,7,0
10,8,9
8,7,6
7,0,0
18,18,18
8,8,0
13,14,14
8,12,12
14,13,14
9,9,8
17,15,16
10,11,10
16,16,17
9,8,8
18,18,18
12,12,11
10,12,12
9,9,10
12,12,11
12,10,11
10,13,13
10,10,11
16,15,15
14,12,13
13,14,13
16,15,15
15,14,14
10,10,10
8,9,10
12,12,11
5,8,7
12,12,13
10,0,0
11,11,12
9,9,10
9,9,10
7,5,0
7,8,10
10,10,11
15,15,16
12,11,12
11,11,11
12,12,11
16,15,15
15,12,14
13,13,14
13,12,12
10,9,9
14,12,13
9,10,10
7,8,9
11,12,11
11,11,10
10,12,11
15,15,15
14,15,16
16,18,18
7,6,0
7,10,10
12,11,11
7,0,0
12,13,12
18,18,19
10,10,9
11,11,10
16,15,15
12,12,13
7,9,8
6,0,0
11,12,11
13,15,15
10,12,12
14,14,14
8,7,6
11,11,11
6,5,0
9,11,11
14,12,11
9,10,9
6,5,0
7,10,10
11,13,13
12,12,12
11,11,10
12,10,11
10,8,9
12,12,12
17,18,18
7,7,7
7,9,8
11,10,10
6,10,10
11,11,11
8,8,8
7,7,5
16,15,15
7,8,0
6,7,8
13,15,16
11,14,14
14,15,15
10,8,11
19,19,20
17,16,16
10,9,10
16,16,16
13,13,13
15,16,15
15,12,12
13,13,14
8,8,8
15,13,15
7,0,0
16,15,15
14,12,12
8,10,9
11,0,0
7,4,0
16,18,19
10,10,10
11,11,10
14,16,16
16,12,13
7,10,11
13,12,12
11,11,11
6,6,4
8,8,8
10,10,0
14,13,13
11,12,13
12,13,14
10,9,0
18,16,16
6,9,8
10,9,10
15,14,14
15,14,13
9,9,9
8,10,10
5,9,7
8,8,11
6,6,8
11,12,13
9,9,0
17,18,18
10,11,11
8,10,11
5,5,6
7,7,7
10,12,12
10,9,9
12,14,15
9,10,0
16,17,18
11,12,11
11,11,10
17,17,17
10,11,12
10,10,11
8,8,0
11,10,10
10,10,10
10,10,10
14,14,14
7,9,8
9,0,0
8,9,8
15,15,15
13,13,13
13,12,12
10,13,13
12,13,13
10,11,9
8,9,10
10,8,7
15,15,15
14,14,14
9,10,9
15,15,14
13,13,14
11,9,10
8,9,8
12,15,15
15,13,13
7,6,0
9,9,9
8,8,9
14,13,14
11,10,10
15,14,14
12,10,10
8,9,10
12,0,0
12,13,14
13,13,13
7,9,8
6,5,5
13,14,14
12,14,14
8,10,10
16,14,15
8,9,9
13,14,15
8,7,9
10,10,10
7,8,8
15,14,14
11,13,13
10,13,14
