G1,G2,G3
8,7,8
11,9,10
10,10,10
11,13,13
11,11,13
10,10,10
6,7,8
6,9,11
13,12,13
10,13,13
7,6,8
14,12,13
11,10,11
11,9,10
14,15,15
15,15,17
17,16,16
13,13,13
12,13,13
15,15,15
8,6,8
10,9,10
8,0,0
9,9,10
8,10,10
11,11,12
10,12,12
14,14,14
15,14,15
8,10,9
13,14,14
13,14,14
14,15,16
10,11,11
12,11,13
10,8,8
14,15,17
11,11,11
15,12,13
11,11,10
11,10,11
7,9,10
11,10,11
9,10,9
16,16,17
13,12,12
12,12,12
17,18,17
11,11,12
14,14,14
14,13,14
9,10,10
11,12,13
13,12,12
13,11,11
11,11,11
11,10,11
11,10,11
8,8,10
10,10,10
14,11,12
13,14,14
14,17,15
15,16,16
12,10,11
14,16,17
11,11,11
11,10,11
11,12,14
17,18,18
14,14,16
6,6,7
14,13,13
7,7,8
19,17,18
12,13,14
12,13,14
7,9,8
14,12,12
11,11,11
10,11,10
9,10,9
18,18,18
15,14,15
14,15,15
14,13,13
15,14,15
10,9,11
12,11,11
18,18,18
7,5,0
9,9,10
9,0,0
14,14,15
10,11,11
11,10,10
10,11,12
11,12,14
15,14,17
16,16,16
12,13,12
11,11,10
12,12,12
10,10,10
11,12,13
15,14,15
12,13,13
16,15,15
9,10,11
7,7,7
7,9,10
17,18,17
12,11,11
13,13,13
10,10,16
11,10,10
11,11,11
14,15,15
14,17,17
6,8,7
9,8,10
16,16,16
9,10,11
13,11,11
5,0,0
10,11,12
9,11,10
13,12,13
6,8,9
10,10,11
15,13,14
10,11,12
10,11,12
11,10,11
17,16,16
9,8,10
15,14,14
9,8,10
9,9,10
10,10,11
9,12,12
11,12,14
13,12,14
13,12,12
10,10,11
8,10,10
14,13,14
18,19,19
12,11,11
11,9,10
14,14,15
15,15,15
9,10,10
11,13,13
10,8,8
11,12,13
12,12,13
10,11,11
11,13,12
10,11,12
17,17,18
14,15,16
14,13,14
14,12,13
14,13,13
13,12,12
14,13,14
10,10,11
7,8,7
16,15,16
16,17,18
14,17,17
13,10,13
16,16,16
13,14,13
13,13,13
12,11,11
14,14,15
15,15,16
17,17,17
9,10,11
11,12,12
15,15,15
12,11,11
9,10,10
13,12,13
11,13,14
7,7,8
10,11,12
10,13,13
14,14,14
15,15,15
11,11,11
15,15,16
14,16,16
7,8,9
5,0,0
7,6,7
12,11,12
8,8,9
11,12,12
12,11,12
12,13,15
14,15,17
8,10,10
13,14,15
14,14,15
12,13,13
9,11,11
13,14,14
13,13,13
17,18,17
10,9,10
13,12,14
12,12,13
12,13,13
13,14,14
16,17,17
11,11,11
14,15,16
13,13,13
7,7,8
12,12,12
5,5,7
8,9,9
8,7,7
14,14,15
10,10,10
11,9,11
10,10,10
11,10,10
13,13,13
12,13,14
15,16,17
10,11,10
12,12,15
13,15,15
11,11,11
12,13,12
18,18,18
8,10,10
16,16,17
14,13,13
9,9,9
8,9,10
9,10,11
12,12,15
14,14,14
12,13,14
9,8,8
6,8,8
14,15,17
9,10,10
11,12,14
12,12,12
12,13,14
13,13,13
10,11,10
10,9,12
12,12,13
11,12,9
13,12,12
11,12,14
13,11,11
11,12,12
14,14,16
11,12,13
14,15,16
