G1,G2,G3
9,10,9
10,11,12
12,12,13
10,11,11
15,15,15
15,16,17
16,16,16
7,9,10
13,12,12
9,10,10
7,9,8
9,9,10
17,18,17
9,12,13
13,14,14
9,9,9
7,8,9
12,13,14
12,12,13
9,9,10
8,8,8
8,8,8
12,11,11
13,13,13
11,11,11
12,12,15
12,13,12
12,12,15
11,10,11
17,18,17
17,17,17
14,14,15
17,17,17
10,10,10
13,14,15
12,10,11
12,11,12
14,14,15
7,7,0
7,9,10
13,12,12
0,11,11
14,17,15
16,16,16
14,17,17
16,16,17
6,8,8
10,10,10
12,13,14
10,10,16
16,15,16
17,17,17
12,11,11
9,9,10
12,12,13
12,10,11
14,13,12
8,8,7
15,16,16
11,10,10
12,11,11
8,8,9
12,13,14
10,11,11
6,6,7
10,11,11
13,12,13
13,13,13
11,12,13
10,11,11
9,10,10
13,14,14
6,8,7
10,11,11
14,15,15
10,11,11
7,8,9
10,9,11
7,7,8
7,7,8
13,14,14
9,11,11
12,11,11
7,6,7
8,13,10
16,17,18
8,9,9
9,10,10
5,8,0
9,0,0
11,11,12
14,13,13
14,14,15
12,12,12
10,10,1
15,14,16
12,13,12
10,11,12
10,11,11
9,8,10
9,10,11
11,12,14
12,13,13
9,9,10
13,14,15
10,11,11
10,11,11
13,17,17
12,12,13
18,17,18
15,15,15
9,8,10
15,15,16
14,16,17
12,13,13
11,12,11
13,14,14
14,15,17
8,7,7
14,15,17
13,13,13
13,12,14
11,12,11
4,8,8
17,17,18
11,12,12
9,10,11
10,11,12
9,10,11
12,11,12
13,14,13
8,9,10
12,12,13
10,11,11
10,10,10
10,9,11
14,12,13
13,13,14
11,12,13
9,10,10
11,12,13
14,14,14
8,8,0
9,10,10
12,12,12
7,8,6
10,9,11
12,12,13
11,10,10
13,12,12
11,12,12
15,17,17
8,7,8
14,13,13
14,16,15
13,13,13
11,10,10
10,9,10
8,10,9
7,6,8
8,9,8
9,10,11
11,10,11
10,11,11
10,9,12
7,5,0
11,11,12
10,9,10
11,11,12
7,8,8
8,10,9
12,11,11
8,9,10
11,11,13
7,8,9
12,12,13
10,11,11
12,11,11
11,13,14
12,12,12
13,13,13
10,12,14
6,8,8
11,10,10
13,12,13
11,11,11
11,11,10
10,10,10
14,13,14
9,8,8
15,17,17
8,0,0
11,10,10
13,14,14
10,13,13
9,11,12
11,11,11
15,16,17
9,8,8
14,14,14
13,14,15
10,10,10
11,12,13
8,5,8
13,12,13
10,10,11
16,15,16
11,11,11
10,11,11
10,10,10
10,10,11
9,9,8
11,9,11
10,11,12
9,8,9
15,14,14
10,9,10
11,12,14
5,5,7
11,12,12
9,10,11
14,17,17
10,11,12
14,15,16
10,10,11
16,17,17
10,10,10
12,13,14
8,8,9
14,17,17
8,11,10
13,14,14
12,13,13
18,18,18
13,13,13
13,12,12
12,13,13
13,15,16
9,11,11
12,11,11
8,8,8
12,12,13
10,8,8
13,12,12
14,13,13
11,11,10
10,9,10
11,11,13
9,8,10
14,13,14
14,12,13
16,16,17
12,13,14
14,16,16
10,10,11
13,13,13
16,18,18
10,8,9
7,9,9
11,11,11
10,10,10
8,9,9
7,7,0
9,9,9
12,15,15
7,7,7
14,14,14
11,12,12
16,17,17
13,12,12
8,9,8
13,12,13
7,6,8
14,16,16
11,9,10
7,8,7
7,0,0
13,12,13
9,9,8
9,10,11
15,14,15
10,11,12
11,13,14
15,15,15
16,14,16
12,13,14
14,13,14
8,10,10
8,7,8
14,14,15
12,12,13
7,10,9
7,9,8
17,18,17
14,14,15
14,11,12
15,13,13
12,10,11
12,12,13
11,11,14
8,6,8
9,10,10
12,9,10
9,9,11
12,15,15
9,10,11
14,13,14
15,15,17
14,14,15
12,13,13
9,7,8
16,14,14
14,14,14
11,11,11
9,11,10
13,14,13
10,9,10
12,12,12
6,9,11
10,9,10
10,8,10
16,16,16
11,9,10
14,15,16
10,11,11
11,10,11
12,11,12
9,10,11
13,12,13
11,11,11
11,10,11
12,13,13
10,11,12
11,11,12
13,13,13
17,18,17
13,12,14
11,9,10
10,11,12
14,14,15
11,12,14
9,9,8
13,13,13
11,13,13
10,11,10
12,13,13
9,12,12
14,14,14
17,17,17
13,14,15
10,9,11
13,12,12
11,11,11
8,7,8
11,9,10
9,11,10
11,10,10
14,15,17
7,11,11
12,13,15
17,16,16
12,11,11
13,13,10
14,14,16
14,14,15
10,11,12
8,10,10
13,12,12
14,14,15
12,12,12
11,11,10
9,9,10
13,12,13
14,13,13
14,15,15
10,9,9
18,19,19
16,16,16
9,10,10
13,14,14
13,14,15
11,12,9
14,14,15
13,14,16
9,9,8
9,10,11
11,12,13
12,10,11
10,10,10
9,7,9
14,13,14
9,11,11
5,0,0
11,13,12
11,11,12
12,11,12
12,12,12
16,17,18
6,8,9
9,10,9
11,12,14
14,13,13
14,15,15
10,10,9
12,13,13
10,11,11
12,12,13
15,16,16
8,8,10
10,11,12
11,11,11
11,9,11
7,9,10
11,10,11
13,14,14
11,11,11
15,15,16
4,0,0
7,0,0
10,11,11
10,8,8
11,9,10
14,13,14
12,13,14
10,9,10
14,13,13
11,12,12
16,17,18
11,10,11
11,11,11
15,16,16
11,9,10
15,15,15
11,15,15
8,10,10
18,18,17
10,12,14
10,11,12
12,13,13
11,11,10
15,15,15
10,9,10
12,12,12
14,14,15
14,13,14
14,13,13
15,14,15
12,13,14
11,9,10
10,10,10
14,15,15
6,7,8
12,13,12
