G1,G2,G3
15,16,17
8,10,9
12,11,11
13,15,15
8,10,11
10,11,11
13,14,14
8,9,9
7,10,10
10,10,10
10,9,11
12,10,11
15,14,16
8,8,8
13,13,13
10,10,9
10,9,11
11,11,10
12,12,12
7,9,8
12,11,12
13,14,15
7,8,7
14,15,16
7,9,8
12,11,12
10,11,10
15,14,14
12,13,12
9,11,11
13,13,13
13,12,13
10,10,10
9,11,11
11,12,13
10,11,11
12,12,13
12,12,12
15,14,15
10,9,10
14,16,16
9,10,11
14,17,15
9,10,9
14,13,13
9,10,9
13,13,14
14,13,12
13,12,14
10,9,10
11,10,11
13,14,13
15,16,17
13,11,11
14,13,13
15,16,16
10,11,12
10,13,13
10,11,11
13,14,14
14,14,15
9,9,10
10,11,11
12,12,12
10,12,13
14,16,16
11,10,11
12,13,13
14,15,15
14,14,16
12,11,11
14,14,15
13,14,14
11,11,12
12,12,13
10,11,11
9,10,10
15,15,15
10,9,10
14,15,15
12,13,13
11,9,10
10,9,11
14,14,14
14,14,15
15,17,17
12,11,12
14,15,17
12,11,11
11,11,11
12,13,13
11,10,11
12,13,14
10,11,12
14,15,15
12,11,11
10,9,10
13,12,12
10,11,12
10,11,11
11,12,13
11,11,11
9,9,9
12,10,11
13,13,14
13,12,13
17,17,17
14,12,13
11,12,14
8,9,9
10,10,10
11,11,11
10,10,10
11,9,11
11,13,14
9,9,10
10,10,10
15,12,13
14,15,16
10,12,12
8,9,10
11,12,12
11,11,12
13,14,15
11,12,9
11,10,10
10,11,11
11,12,14
11,11,12
12,11,11
14,12,12
15,14,15
12,12,12
6,8,8
10,10,10
15,15,15
14,14,15
11,13,14
11,12,12
11,9,10
14,15,15
10,10,11
16,17,18
15,13,13
11,10,10
10,11,12
11,12,13
7,6,7
10,13,13
7,8,8
15,15,15
13,14,14
9,9,11
14,13,14
12,15,15
12,12,13
13,14,15
14,13,13
17,17,17
10,9,9
11,10,10
13,14,14
12,12,14
14,13,13
11,12,12
12,12,13
11,12,12
15,15,15
12,13,13
11,11,13
16,17,18
9,10,11
10,10,11
14,12,13
14,13,14
10,10,11
7,7,8
8,10,10
15,15,16
13,12,13
12,13,12
10,9,10
11,12,11
12,13,13
10,9,10
12,12,13
16,16,16
10,11,10
14,14,15
15,16,16
11,9,11
11,12,14
12,12,13
9,9,9
12,12,13
11,11,13
11,11,11
13,12,12
11,11,11
12,11,13
7,9,9
11,11,11
16,15,15
10,11,11
14,13,13
8,9,10
11,12,14
10,9,12
14,15,15
9,10,10
14,14,15
11,11,11
16,17,18
12,10,11
13,12,13
12,12,13
9,10,11
8,8,10
11,11,12
12,16,16
17,17,17
13,13,14
10,11,11
12,13,14
9,8,10
11,13,14
13,14,13
12,13,13
12,11,12
11,10,11
12,9,10
11,12,11
10,10,11
14,16,17
12,13,14
14,13,13
13,14,14
11,12,13
13,17,17
10,8,8
14,15,17
10,9,10
11,11,12
13,12,12
16,16,16
12,11,11
14,17,17
12,12,15
13,12,12
17,16,16
12,13,12
10,9,10
9,10,10
15,14,15
12,13,13
9,12,13
13,13,13
12,12,15
12,13,13
16,15,16
14,11,12
15,14,15
16,15,16
13,12,12
15,15,17
12,13,13
14,14,15
6,8,9
11,11,11
9,7,8
8,9,11
12,11,11
11,11,11
14,15,16
16,16,17
11,15,15
15,16,16
10,10,10
12,13,14
13,13,10
14,13,14
15,15,16
13,13,14
11,10,10
15,15,16
10,8,9
10,10,10
11,10,11
12,13,12
13,12,13
12,12,12
13,14,14
10,10,10
10,10,11
14,15,15
11,11,10
13,13,13
11,11,11
16,16,17
7,8,8
13,12,13
10,10,11
7,11,11
12,13,14
8,8,8
12,12,13
9,9,10
10,11,11
8,6,8
13,14,14
11,13,13
11,12,14
13,12,13
10,11,11
12,13,14
14,14,15
15,15,15
15,13,14
15,14,17
10,11,11
12,12,12
10,11,12
